# Kurylyk, McKenzie, MacQuarrie & Voss (2014), Adv. Water Resour. 70, 172-184 - Table S1 (supplementary material, test_cases_mmc1.xlsx)
# X = depth to thawing front [m]. benchmark1 = Neumann (Run 15: Ts=5C, Ti=-5C, no flow); benchmark2/3 = Lunardini 1998 quasi-steady with advection (Ts=1C, Ti=0C, v=10 / 100 m/yr)
time_days,time_s,X_benchmark1_neumann_m,X_benchmark2_v10_m,X_benchmark3_v100_m
0.01,864.0,0.0084,0.0044,0.0044
0.02,1728.0,0.0118,0.0062,0.0062
0.03,2592.0,0.0145,0.0076,0.0076
0.04,3456.0,0.0168,0.0087,0.0088
0.05,4320.0,0.0187,0.0098,0.0099
0.06,5184.0,0.0205,0.0107,0.0108
0.07,6048.0,0.0222,0.0116,0.0117
0.08,6912.0,0.0237,0.0124,0.0125
0.09,7776.0,0.0251,0.0131,0.0133
0.10,8640.0,0.0265,0.0138,0.0140
0.11,9504.0,0.0278,0.0145,0.0147
0.12,10368.0,0.0290,0.0151,0.0154
0.13,11232.0,0.0302,0.0158,0.0160
0.14,12096.0,0.0313,0.0164,0.0167
0.15,12960.0,0.0324,0.0169,0.0172
0.16,13824.0,0.0335,0.0175,0.0178
0.17,14688.0,0.0345,0.0180,0.0184
0.18,15552.0,0.0355,0.0186,0.0189
0.19,16416.0,0.0365,0.0191,0.0195
0.20,17280.0,0.0375,0.0196,0.0200
0.21,18144.0,0.0384,0.0200,0.0205
0.22,19008.0,0.0393,0.0205,0.0210
0.23,19872.0,0.0402,0.0210,0.0215
0.24,20736.0,0.0410,0.0214,0.0219
0.25,21600.0,0.0419,0.0219,0.0224
0.26,22464.0,0.0427,0.0223,0.0229
0.27,23328.0,0.0435,0.0227,0.0233
0.28,24192.0,0.0443,0.0231,0.0237
0.29,25056.0,0.0451,0.0236,0.0242
0.30,25920.0,0.0459,0.0240,0.0246
0.31,26784.0,0.0466,0.0244,0.0250
0.32,27648.0,0.0474,0.0248,0.0254
0.33,28512.0,0.0481,0.0251,0.0258
0.34,29376.0,0.0488,0.0255,0.0262
0.35,30240.0,0.0496,0.0259,0.0266
0.36,31104.0,0.0503,0.0263,0.0270
0.37,31968.0,0.0509,0.0266,0.0274
0.38,32832.0,0.0516,0.0270,0.0278
0.39,33696.0,0.0523,0.0273,0.0282
0.40,34560.0,0.0530,0.0277,0.0285
0.41,35424.0,0.0536,0.0280,0.0289
0.42,36288.0,0.0543,0.0284,0.0293
0.43,37152.0,0.0549,0.0287,0.0296
0.44,38016.0,0.0556,0.0290,0.0300
0.45,38880.0,0.0562,0.0294,0.0303
0.46,39744.0,0.0568,0.0297,0.0307
0.47,40608.0,0.0574,0.0300,0.0310
0.48,41472.0,0.0580,0.0303,0.0314
0.49,42336.0,0.0586,0.0306,0.0317
0.50,43200.0,0.0592,0.0310,0.0320
0.51,44064.0,0.0598,0.0313,0.0324
0.52,44928.0,0.0604,0.0316,0.0327
0.53,45792.0,0.0610,0.0319,0.0330
0.54,46656.0,0.0615,0.0322,0.0333
0.55,47520.0,0.0621,0.0325,0.0337
0.56,48384.0,0.0627,0.0328,0.0340
0.57,49248.0,0.0632,0.0331,0.0343
0.58,50112.0,0.0638,0.0334,0.0346
0.59,50976.0,0.0643,0.0336,0.0349
0.60,51840.0,0.0649,0.0339,0.0352
0.61,52704.0,0.0654,0.0342,0.0355
0.62,53568.0,0.0660,0.0345,0.0358
0.63,54432.0,0.0665,0.0348,0.0361
0.64,55296.0,0.0670,0.0350,0.0364
0.65,56160.0,0.0675,0.0353,0.0367
0.66,57024.0,0.0680,0.0356,0.0370
0.67,57888.0,0.0686,0.0359,0.0373
0.68,58752.0,0.0691,0.0361,0.0376
0.69,59616.0,0.0696,0.0364,0.0379
0.70,60480.0,0.0701,0.0367,0.0382
0.71,61344.0,0.0706,0.0369,0.0385
0.72,62208.0,0.0711,0.0372,0.0387
0.73,63072.0,0.0716,0.0374,0.0390
0.74,63936.0,0.0721,0.0377,0.0393
0.75,64800.0,0.0725,0.0379,0.0396
0.76,65664.0,0.0730,0.0382,0.0398
0.77,66528.0,0.0735,0.0385,0.0401
0.78,67392.0,0.0740,0.0387,0.0404
0.79,68256.0,0.0744,0.0390,0.0407
0.80,69120.0,0.0749,0.0392,0.0409
0.81,69984.0,0.0754,0.0394,0.0412
0.82,70848.0,0.0758,0.0397,0.0415
0.83,71712.0,0.0763,0.0399,0.0417
0.84,72576.0,0.0768,0.0402,0.0420
0.85,73440.0,0.0772,0.0404,0.0423
0.86,74304.0,0.0777,0.0407,0.0425
0.87,75168.0,0.0781,0.0409,0.0428
0.88,76032.0,0.0786,0.0411,0.0430
0.89,76896.0,0.0790,0.0414,0.0433
0.90,77760.0,0.0795,0.0416,0.0435
0.91,78624.0,0.0799,0.0418,0.0438
0.92,79488.0,0.0803,0.0421,0.0441
0.93,80352.0,0.0808,0.0423,0.0443
0.94,81216.0,0.0812,0.0425,0.0446
0.95,82080.0,0.0816,0.0427,0.0448
0.96,82944.0,0.0821,0.0430,0.0451
0.97,83808.0,0.0825,0.0432,0.0453
0.98,84672.0,0.0829,0.0434,0.0455
0.99,85536.0,0.0833,0.0436,0.0458
1.00,86400.0,0.0838,0.0439,0.0460
1.01,87264.0,0.0842,0.0441,0.0463
1.02,88128.0,0.0846,0.0443,0.0465
1.03,88992.0,0.0850,0.0445,0.0468
1.04,89856.0,0.0854,0.0447,0.0470
1.05,90720.0,0.0858,0.0449,0.0472
1.06,91584.0,0.0862,0.0452,0.0475
1.07,92448.0,0.0866,0.0454,0.0477
1.08,93312.0,0.0870,0.0456,0.0479
1.09,94176.0,0.0874,0.0458,0.0482
1.10,95040.0,0.0878,0.0460,0.0484
1.11,95904.0,0.0882,0.0462,0.0486
1.12,96768.0,0.0886,0.0464,0.0489
1.13,97632.0,0.0890,0.0466,0.0491
1.14,98496.0,0.0894,0.0468,0.0493
1.15,99360.0,0.0898,0.0470,0.0496
1.16,100224.0,0.0902,0.0472,0.0498
1.17,101088.0,0.0906,0.0475,0.0500
1.18,101952.0,0.0910,0.0477,0.0502
1.19,102816.0,0.0914,0.0479,0.0505
1.20,103680.0,0.0918,0.0481,0.0507
1.21,104544.0,0.0921,0.0483,0.0509
1.22,105408.0,0.0925,0.0485,0.0511
1.23,106272.0,0.0929,0.0487,0.0514
1.24,107136.0,0.0933,0.0489,0.0516
1.25,108000.0,0.0936,0.0491,0.0518
1.26,108864.0,0.0940,0.0493,0.0520
1.27,109728.0,0.0944,0.0494,0.0522
1.28,110592.0,0.0948,0.0496,0.0525
1.29,111456.0,0.0951,0.0498,0.0527
1.30,112320.0,0.0955,0.0500,0.0529
1.31,113184.0,0.0959,0.0502,0.0531
1.32,114048.0,0.0962,0.0504,0.0533
1.33,114912.0,0.0966,0.0506,0.0535
1.34,115776.0,0.0970,0.0508,0.0538
1.35,116640.0,0.0973,0.0510,0.0540
1.36,117504.0,0.0977,0.0512,0.0542
1.37,118368.0,0.0980,0.0514,0.0544
1.38,119232.0,0.0984,0.0516,0.0546
1.39,120096.0,0.0987,0.0517,0.0548
1.40,120960.0,0.0991,0.0519,0.0550
1.41,121824.0,0.0995,0.0521,0.0552
1.42,122688.0,0.0998,0.0523,0.0554
1.43,123552.0,0.1002,0.0525,0.0556
1.44,124416.0,0.1005,0.0527,0.0559
1.45,125280.0,0.1009,0.0529,0.0561
1.46,126144.0,0.1012,0.0530,0.0563
1.47,127008.0,0.1016,0.0532,0.0565
1.48,127872.0,0.1019,0.0534,0.0567
1.49,128736.0,0.1022,0.0536,0.0569
1.50,129600.0,0.1026,0.0538,0.0571
1.51,130464.0,0.1029,0.0539,0.0573
1.52,131328.0,0.1033,0.0541,0.0575
1.53,132192.0,0.1036,0.0543,0.0577
1.54,133056.0,0.1039,0.0545,0.0579
1.55,133920.0,0.1043,0.0547,0.0581
1.56,134784.0,0.1046,0.0548,0.0583
1.57,135648.0,0.1049,0.0550,0.0585
1.58,136512.0,0.1053,0.0552,0.0587
1.59,137376.0,0.1056,0.0554,0.0589
1.60,138240.0,0.1059,0.0555,0.0591
1.61,139104.0,0.1063,0.0557,0.0593
1.62,139968.0,0.1066,0.0559,0.0595
1.63,140832.0,0.1069,0.0561,0.0597
1.64,141696.0,0.1073,0.0562,0.0599
1.65,142560.0,0.1076,0.0564,0.0601
1.66,143424.0,0.1079,0.0566,0.0603
1.67,144288.0,0.1082,0.0568,0.0605
1.68,145152.0,0.1086,0.0569,0.0607
1.69,146016.0,0.1089,0.0571,0.0608
1.70,146880.0,0.1092,0.0573,0.0610
1.71,147744.0,0.1095,0.0574,0.0612
1.72,148608.0,0.1098,0.0576,0.0614
1.73,149472.0,0.1102,0.0578,0.0616
1.74,150336.0,0.1105,0.0579,0.0618
1.75,151200.0,0.1108,0.0581,0.0620
1.76,152064.0,0.1111,0.0583,0.0622
1.77,152928.0,0.1114,0.0584,0.0624
1.78,153792.0,0.1117,0.0586,0.0626
1.79,154656.0,0.1121,0.0588,0.0628
1.80,155520.0,0.1124,0.0589,0.0629
1.81,156384.0,0.1127,0.0591,0.0631
1.82,157248.0,0.1130,0.0593,0.0633
1.83,158112.0,0.1133,0.0594,0.0635
1.84,158976.0,0.1136,0.0596,0.0637
