case,pm,gradient,model,t_s,value
TH2,PM1,0,1,0,-5
TH2,PM1,0,1,60,-4.99991
TH2,PM1,0,1,660,-4.8041
TH2,PM1,0,1,1860,-3.21043
TH2,PM1,0,1,2460,-2.53246
TH2,PM1,0,1,3060,-2.03566
TH2,PM1,0,1,3660,-1.69255
TH2,PM1,0,1,4260,-1.478
TH2,PM1,0,1,4860,-1.35503
TH2,PM1,0,1,6060,-1.23336
TH2,PM1,0,1,6660,-1.19699
TH2,PM1,0,1,7260,-1.16825
TH2,PM1,0,1,7860,-1.14451
TH2,PM1,0,1,8460,-1.12425
TH2,PM1,0,1,9060,-1.10658
TH2,PM1,0,1,10260,-1.07667
TH2,PM1,0,1,10860,-1.06373
TH2,PM1,0,1,11460,-1.05184
TH2,PM1,0,1,12060,-1.04081
TH2,PM1,0,1,12660,-1.03051
TH2,PM1,0,1,13260,-1.02086
TH2,PM1,0,1,14460,-1.00314
TH2,PM1,0,1,15060,-0.994964
TH2,PM1,0,1,15660,-0.987169
TH2,PM1,0,1,16260,-0.979721
TH2,PM1,0,1,16860,-0.972585
TH2,PM1,0,1,18060,-0.959139
TH2,PM1,0,1,18660,-0.952783
TH2,PM1,0,1,19260,-0.946644
TH2,PM1,0,1,19860,-0.940706
TH2,PM1,0,1,20460,-0.934954
TH2,PM1,0,1,21060,-0.929373
TH2,PM1,0,1,22260,-0.918682
TH2,PM1,0,1,22860,-0.913551
TH2,PM1,0,1,23460,-0.908551
TH2,PM1,0,1,24060,-0.903673
TH2,PM1,0,1,24660,-0.898911
TH2,PM1,0,1,25260,-0.894257
TH2,PM1,0,1,26460,-0.885252
TH2,PM1,0,1,27060,-0.880889
TH2,PM1,0,1,27660,-0.876613
TH2,PM1,0,1,28260,-0.87242
TH2,PM1,0,1,28860,-0.868305
TH2,PM1,0,1,29460,-0.864264
TH2,PM1,0,1,30660,-0.856391
TH2,PM1,0,1,31260,-0.852553
TH2,PM1,0,1,31860,-0.848777
TH2,PM1,0,1,32460,-0.845059
TH2,PM1,0,1,33060,-0.841397
TH2,PM1,0,1,34260,-0.834232
TH2,PM1,0,1,34860,-0.830725
TH2,PM1,0,1,35460,-0.827264
TH2,PM1,0,1,36060,-0.82385
TH2,PM1,0,1,36660,-0.820479
TH2,PM1,0,1,37260,-0.817149
TH2,PM1,0,1,38460,-0.81061
TH2,PM1,0,1,39060,-0.807397
TH2,PM1,0,1,39660,-0.80422
TH2,PM1,0,1,40260,-0.801077
TH2,PM1,0,1,40860,-0.797968
TH2,PM1,0,1,41460,-0.79489
TH2,PM1,0,1,42660,-0.788827
TH2,PM1,0,1,43260,-0.78584
TH2,PM1,0,1,43860,-0.78288
TH2,PM1,0,1,44460,-0.779947
TH2,PM1,0,1,45060,-0.777039
TH2,PM1,0,1,45660,-0.774157
TH2,PM1,0,1,46860,-0.768464
TH2,PM1,0,1,47460,-0.765652
TH2,PM1,0,1,48060,-0.762862
TH2,PM1,0,1,48660,-0.760093
TH2,PM1,0,1,49260,-0.757344
TH2,PM1,0,1,50460,-0.751905
TH2,PM1,0,1,51060,-0.749214
TH2,PM1,0,1,51660,-0.74654
TH2,PM1,0,1,52260,-0.743884
TH2,PM1,0,1,52860,-0.741244
TH2,PM1,0,1,53460,-0.738621
TH2,PM1,0,1,54660,-0.733421
TH2,PM1,0,1,55260,-0.730843
TH2,PM1,0,1,55860,-0.728279
TH2,PM1,0,1,56460,-0.725729
TH2,PM1,0,1,57060,-0.723193
TH2,PM1,0,1,57660,-0.720669
TH2,PM1,0,1,58860,-0.715658
TH2,PM1,0,1,59460,-0.71317
TH2,PM1,0,1,60060,-0.710693
TH2,PM1,0,1,60660,-0.708227
TH2,PM1,0,1,61260,-0.705772
TH2,PM1,0,1,61860,-0.703326
TH2,PM1,0,1,63060,-0.698464
TH2,PM1,0,1,63660,-0.696047
TH2,PM1,0,1,64260,-0.693638
TH2,PM1,0,1,64860,-0.691237
TH2,PM1,0,1,65460,-0.688845
TH2,PM1,0,1,66660,-0.684083
TH2,PM1,0,1,67260,-0.681712
TH2,PM1,0,1,67860,-0.679349
TH2,PM1,0,1,68460,-0.676992
TH2,PM1,0,1,69060,-0.674641
TH2,PM1,0,1,69660,-0.672296
TH2,PM1,0,1,70860,-0.667622
TH2,PM1,0,1,71460,-0.665293
TH2,PM1,0,1,72060,-0.662969
