x0x23,dates,temperature_depth_1_C,temperature_depth_2_C,temperature_depth_3_C,temperature_depth_4_C
1,12/05/2021 17:00:00,14.168,13.756,13.293,13.359
2,12/05/2021 17:15:00,14.185,13.778,13.311,13.377
3,12/05/2021 17:30:00,14.206,13.802,13.327,13.394
4,12/05/2021 17:45:00,14.228,13.825,13.344,13.412
5,12/05/2021 18:00:00,14.235,13.841,13.36,13.428
6,12/05/2021 18:15:00,14.234,13.856,13.376,13.445
7,12/05/2021 18:30:00,14.226,13.864,13.391,13.46
8,12/05/2021 18:45:00,14.211,13.87,13.404,13.472
9,12/05/2021 19:00:00,14.188,13.873,13.416,13.484
10,12/05/2021 19:15:00,14.159,13.874,13.427,13.494
11,12/05/2021 19:30:00,14.128,13.871,13.437,13.503
12,12/05/2021 19:45:00,14.092,13.864,13.445,13.511
13,12/05/2021 20:00:00,14.056,13.855,13.451,13.515
14,12/05/2021 20:15:00,14.02,13.843,13.457,13.52
15,12/05/2021 20:30:00,13.981,13.829,13.46,13.521
16,12/05/2021 20:45:00,13.943,13.813,13.463,13.521
17,12/05/2021 21:00:00,13.904,13.796,13.463,13.52
18,12/05/2021 21:15:00,13.865,13.777,13.463,13.517
19,12/05/2021 21:30:00,13.826,13.757,13.461,13.512
20,12/05/2021 21:45:00,13.787,13.738,13.458,13.506
21,12/05/2021 22:00:00,13.747,13.717,13.455,13.5
22,12/05/2021 22:15:00,13.705,13.694,13.451,13.493
23,12/05/2021 22:30:00,13.663,13.672,13.446,13.484
24,12/05/2021 22:45:00,13.62,13.649,13.44,13.475
25,12/05/2021 23:00:00,13.58,13.625,13.433,13.466
26,12/05/2021 23:15:00,13.539,13.601,13.425,13.455
27,12/05/2021 23:30:00,13.499,13.577,13.418,13.443
28,12/05/2021 23:45:00,13.455,13.553,13.409,13.433
29,13/05/2021 00:00:00,13.412,13.527,13.398,13.421
30,13/05/2021 00:15:00,13.367,13.502,13.388,13.407
31,13/05/2021 00:30:00,13.323,13.476,13.376,13.394
32,13/05/2021 00:45:00,13.278,13.449,13.364,13.38
33,13/05/2021 01:00:00,13.236,13.422,13.351,13.367
34,13/05/2021 01:15:00,13.195,13.395,13.338,13.351
35,13/05/2021 01:30:00,13.156,13.367,13.323,13.336
36,13/05/2021 01:45:00,13.117,13.339,13.309,13.321
37,13/05/2021 02:00:00,13.078,13.312,13.294,13.305
38,13/05/2021 02:15:00,13.04,13.284,13.279,13.288
39,13/05/2021 02:30:00,13.004,13.257,13.263,13.272
40,13/05/2021 02:45:00,12.966,13.23,13.248,13.255
41,13/05/2021 03:00:00,12.932,13.201,13.231,13.237
42,13/05/2021 03:15:00,12.897,13.174,13.215,13.219
43,13/05/2021 03:30:00,12.864,13.147,13.198,13.201
44,13/05/2021 03:45:00,12.829,13.12,13.18,13.183
45,13/05/2021 04:00:00,12.794,13.093,13.163,13.165
46,13/05/2021 04:15:00,12.763,13.066,13.147,13.147
47,13/05/2021 04:30:00,12.73,13.038,13.129,13.129
48,13/05/2021 04:45:00,12.696,13.011,13.111,13.109
49,13/05/2021 05:00:00,12.663,12.984,13.093,13.091
50,13/05/2021 05:15:00,12.628,12.957,13.076,13.072
51,13/05/2021 05:30:00,12.592,12.929,13.058,13.052
52,13/05/2021 05:45:00,12.556,12.901,13.04,13.032
53,13/05/2021 06:00:00,12.523,12.873,13.022,13.013
54,13/05/2021 06:15:00,12.49,12.846,13.004,12.993
55,13/05/2021 06:30:00,12.459,12.817,12.986,12.974
56,13/05/2021 06:45:00,12.431,12.791,12.966,12.954
57,13/05/2021 07:00:00,12.406,12.764,12.948,12.933
58,13/05/2021 07:15:00,12.384,12.74,12.93,12.913
