n,dates,pressure_differential_m,temperature_stream_C
1,14/04/2022 13:45:00,-0.214548571909966,13.778
2,14/04/2022 14:00:00,-0.187805737355783,13.66
3,14/04/2022 14:15:00,-0.2003405128262,13.595
4,14/04/2022 14:30:00,-0.190409723097268,13.538
5,14/04/2022 14:45:00,-0.204994023466876,13.401
6,14/04/2022 15:00:00,-0.169934276278294,13.29
7,14/04/2022 15:15:00,-0.166389687322205,13.186
8,14/04/2022 15:30:00,-0.165102546081167,13.028
9,14/04/2022 15:45:00,-0.153736098814154,12.877
10,14/04/2022 16:00:00,-0.173033316343255,12.705
11,14/04/2022 16:15:00,-0.157508412759042,12.591
12,14/04/2022 16:30:00,-0.142211234163629,12.542
13,14/04/2022 16:45:00,-0.1417656852725,12.535
14,14/04/2022 17:00:00,-0.146934052409592,12.532
15,14/04/2022 17:15:00,-0.14840931429355,12.535
16,14/04/2022 17:30:00,-0.152379649967829,12.527
17,14/04/2022 17:45:00,-0.15423115313763,12.499
18,14/04/2022 18:00:00,-0.168241190492006,12.456
19,14/04/2022 18:15:00,-0.166617412311004,12.425
20,14/04/2022 18:30:00,-0.152409353227238,12.455
21,14/04/2022 18:45:00,-0.136131967071342,12.57
22,14/04/2022 19:00:00,-0.153775703160032,12.728
23,14/04/2022 19:15:00,-0.16566690800993,12.867
24,14/04/2022 19:30:00,-0.161023298455723,13.001
25,14/04/2022 19:45:00,-0.179647242104896,13.106
26,14/04/2022 20:00:00,-0.178439309555614,13.209
27,14/04/2022 20:15:00,-0.211598048142048,13.285
28,14/04/2022 20:30:00,-0.198419702051112,13.386
29,14/04/2022 20:45:00,-0.182558161526936,13.503
30,14/04/2022 21:00:00,-0.204003914819923,13.631
31,14/04/2022 21:15:00,-0.186706716757666,13.775
32,14/04/2022 21:30:00,-0.199479118303351,13.879
33,14/04/2022 21:45:00,-0.200310809566791,13.963
34,14/04/2022 22:00:00,-0.201815774710159,14.015
35,14/04/2022 22:15:00,-0.210122786258089,14.068
36,14/04/2022 22:30:00,-0.199360305265717,14.092
37,14/04/2022 22:45:00,-0.193657279459272,14.107
38,14/04/2022 23:00:00,-0.207449492911318,14.092
39,14/04/2022 23:15:00,-0.203211827902362,14.063
40,14/04/2022 23:30:00,-0.239885452185476,14.036
41,14/04/2022 23:45:00,-0.197092956464196,14.011
42,15/04/2022 00:00:00,-0.187498803675228,13.984
43,15/04/2022 00:15:00,-0.192597863207033,13.966
44,15/04/2022 00:30:00,-0.220291202062289,13.942
45,15/04/2022 00:45:00,-0.183766094076218,13.928
46,15/04/2022 01:00:00,-0.180587845319501,13.948
47,15/04/2022 01:15:00,-0.18331064409862,13.969
48,15/04/2022 01:30:00,-0.202687070319477,13.966
49,15/04/2022 01:45:00,-0.198904855288119,13.964
50,15/04/2022 02:00:00,-0.208914853708807,13.958
51,15/04/2022 02:15:00,-0.188330494938668,13.96
52,15/04/2022 02:30:00,-0.206231659275566,13.97
53,15/04/2022 02:45:00,-0.202083104044836,13.966
54,15/04/2022 03:00:00,-0.209558424329326,13.946
55,15/04/2022 03:15:00,-0.194607783760346,13.918
56,15/04/2022 03:30:00,-0.204310848500479,13.894
57,15/04/2022 03:45:00,-0.187538408021106,13.882
58,15/04/2022 04:00:00,-0.180063087736616,13.867
59,15/04/2022 04:15:00,-0.202310829033635,13.847
60,15/04/2022 04:30:00,-0.175756115122374,13.819
61,15/04/2022 04:45:00,-0.198489009656399,13.795
62,15/04/2022 05:00:00,-0.189993877465548,13.768
63,15/04/2022 05:15:00,-0.181082899642977,13.727
64,15/04/2022 05:30:00,-0.186478991768867,13.688
65,15/04/2022 05:45:00,-0.184518576647902,13.655
66,15/04/2022 06:00:00,-0.180063087736616,13.625
67,15/04/2022 06:15:00,-0.177300684611619,13.598
68,15/04/2022 06:30:00,-0.213449551311849,13.575
69,15/04/2022 06:45:00,-0.204390057192235,13.548
70,15/04/2022 07:00:00,-0.171716471842808,13.515
71,15/04/2022 07:15:00,-0.168805552420768,13.466
72,15/04/2022 07:30:00,-0.172280833771571,13.421
73,15/04/2022 07:45:00,-0.208805941757642,13.394
74,15/04/2022 08:00:00,-0.17001348497005,13.365
75,15/04/2022 08:15:00,-0.170805571887612,13.38
76,15/04/2022 08:30:00,-0.170577846898813,13.386
77,15/04/2022 08:45:00,-0.174280853238415,13.404
78,15/04/2022 09:00:00,-0.201439533424317,13.434
79,15/04/2022 09:15:00,-0.199251393314552,13.479
80,15/04/2022 09:30:00,-0.186370079817703,13.539
81,15/04/2022 09:45:00,-0.172884800046212,13.613
