x0x23,dates,pressure_differential_m,temperature_stream_C
1,14/04/2022 13:45:00,-0.125493454918125,13.739212812371
2,14/04/2022 14:00:00,-0.13359442088652,13.672724716388
3,14/04/2022 14:15:00,-0.136541346713344,13.596354235206
4,14/04/2022 14:30:00,-0.137099233086478,13.5115983183865
5,14/04/2022 14:45:00,-0.141493146840616,13.4062049725165
6,14/04/2022 15:00:00,-0.153270804932412,13.2909465678103
7,14/04/2022 15:15:00,-0.163127832612036,13.1676911911842
8,14/04/2022 15:30:00,-0.167836597220147,13.0263855996365
9,14/04/2022 15:45:00,-0.168718570813237,12.8731250115626
10,14/04/2022 16:00:00,-0.168102019824478,12.7278818673641
11,14/04/2022 16:15:00,-0.173781533281018,12.6194054846766
12,14/04/2022 16:30:00,-0.182377788971848,12.5605932251002
13,14/04/2022 16:45:00,-0.18574864572837,12.5390281717028
14,14/04/2022 17:00:00,-0.184022101398463,12.5337376514748
15,14/04/2022 17:15:00,-0.181112752702684,12.5303521925942
16,14/04/2022 17:30:00,-0.177631307097552,12.5185197199797
17,14/04/2022 17:45:00,-0.1724484406362,12.4932664098571
18,14/04/2022 18:00:00,-0.167243750898835,12.4627446240225
19,14/04/2022 18:15:00,-0.168707881751865,12.4518293037786
20,14/04/2022 18:30:00,-0.177159123631732,12.4906870136369
21,14/04/2022 18:45:00,-0.182528275019653,12.5887829377577
22,14/04/2022 19:00:00,-0.177817788768728,12.7233601745019
23,14/04/2022 19:15:00,-0.170033141327819,12.8626186495861
24,14/04/2022 19:30:00,-0.163835510307216,12.9903763965862
25,14/04/2022 19:45:00,-0.155557009206702,13.102242276243
26,14/04/2022 20:00:00,-0.144585671006634,13.2007174145449
27,14/04/2022 20:15:00,-0.134801386069615,13.2932300922475
28,14/04/2022 20:30:00,-0.135000095746801,13.3936124520214
29,14/04/2022 20:45:00,-0.138754280641738,13.5086286037277
30,14/04/2022 21:00:00,-0.138515952864128,13.6350706875257
31,14/04/2022 21:15:00,-0.138217749515182,13.7606548968177
32,14/04/2022 21:30:00,-0.13608076327973,13.8680132404904
33,14/04/2022 21:45:00,-0.132930370532673,13.9506629962383
34,14/04/2022 22:00:00,-0.130117794671911,14.0120293689536
35,14/04/2022 22:15:00,-0.129398517995437,14.0573219079016
36,14/04/2022 22:30:00,-0.132323842342396,14.0856065592116
37,14/04/2022 22:45:00,-0.133679127872091,14.0951513989223
38,14/04/2022 23:00:00,-0.129121225523381,14.0855298148772
39,14/04/2022 23:15:00,-0.121097734841693,14.0630524932076
40,14/04/2022 23:30:00,-0.117531040085971,14.0367063574222
41,14/04/2022 23:45:00,-0.128042749570709,14.0108930181078
42,15/04/2022 00:00:00,-0.137549188454387,13.9867426989235
43,15/04/2022 00:15:00,-0.135350765142711,13.9649162127398
44,15/04/2022 00:30:00,-0.132532350428771,13.9470574702784
45,15/04/2022 00:45:00,-0.14081024808038,13.9406074517075
46,15/04/2022 01:00:00,-0.147797043901794,13.9488980655566
47,15/04/2022 01:15:00,-0.144967448515912,13.9606326883026
48,15/04/2022 01:30:00,-0.137062614877209,13.9648274955437
49,15/04/2022 01:45:00,-0.132379144808259,13.9630776833165
50,15/04/2022 02:00:00,-0.132263625347227,13.961043384427
51,15/04/2022 02:15:00,-0.134170466549418,13.9624984975815
52,15/04/2022 02:30:00,-0.132055031803228,13.9646195885682
53,15/04/2022 02:45:00,-0.129452927776392,13.9591503895623
54,15/04/2022 03:00:00,-0.129566754040393,13.9425207060966
55,15/04/2022 03:15:00,-0.1324807586457,13.9196306695826
56,15/04/2022 03:30:00,-0.136273834522691,13.8982926332178
57,15/04/2022 03:45:00,-0.142047366895213,13.8813218846585
58,15/04/2022 04:00:00,-0.144601442982218,13.8646347309144
59,15/04/2022 04:15:00,-0.143584694777238,13.8441200816266
60,15/04/2022 04:30:00,-0.144108798339118,13.8198133393144
61,15/04/2022 04:45:00,-0.142730957712613,13.7933955770212
62,15/04/2022 05:00:00,-0.143862226542273,13.76300100936
63,15/04/2022 05:15:00,-0.146996380004117,13.7272704479458
64,15/04/2022 05:30:00,-0.148103478409886,13.6903915156894
65,15/04/2022 05:45:00,-0.149224995887043,13.6565499342943
66,15/04/2022 06:00:00,-0.149842518442788,13.6264409569252
67,15/04/2022 06:15:00,-0.143757033431444,13.5993582261599
68,15/04/2022 06:30:00,-0.13405726563441,13.5734783077865
69,15/04/2022 06:45:00,-0.137102171609683,13.5447911540424
70,15/04/2022 07:00:00,-0.150942041316745,13.5092401632533
71,15/04/2022 07:15:00,-0.157655734657902,13.4675216922135
72,15/04/2022 07:30:00,-0.151854988513667,13.4274661941689
73,15/04/2022 07:45:00,-0.145822501739457,13.3966719410199
74,15/04/2022 08:00:00,-0.152113962002677,13.3799404877585
75,15/04/2022 08:15:00,-0.159130937390479,13.3798727579349
76,15/04/2022 08:30:00,-0.158781896749822,13.3904016105869
77,15/04/2022 08:45:00,-0.150833596459168,13.4097093390161
78,15/04/2022 09:00:00,-0.140312433000349,13.4407688751494
79,15/04/2022 09:15:00,-0.138338790543604,13.4858778525185
80,15/04/2022 09:30:00,-0.145376350274751,13.5454156964383
81,15/04/2022 09:45:00,-0.151894567430989,13.6185458729624
82,15/04/2022 10:00:00,-0.150710467828784,13.7024228097419
83,15/04/2022 10:15:00,-0.14146428843582,13.7913087377892
84,15/04/2022 10:30:00,-0.129575521374548,13.8813733685061
85,15/04/2022 10:45:00,-0.125750577072588,13.9754228097419
86,15/04/2022 11:00:00,-0.120554390398158,14.0723016948635
87,15/04/2022 11:15:00,-0.11629796982846,14.1660454502819
88,15/04/2022 11:30:00,-0.119060236016925,14.2546034368619
89,15/04/2022 11:45:00,-0.118736365557547,14.3373077988071
90,15/04/2022 12:00:00,-0.114924610907939,14.4118860455601
91,15/04/2022 12:15:00,-0.116002883107891,14.4675924966033
92,15/04/2022 12:30:00,-0.11368710355106,14.4827811288741
93,15/04/2022 12:45:00,-0.107999000070522,14.448801272183
94,15/04/2022 13:00:00,-0.109875954086163,14.3949909151112
95,15/04/2022 13:15:00,-0.112718884404501,14.3592178611172
96,15/04/2022 13:30:00,-0.10969152507254,14.3489434454606
97,15/04/2022 13:45:00,-0.108014068975794,14.3484622264582
98,15/04/2022 14:00:00,-0.110275694729096,14.337337073491
99,15/04/2022 14:15:00,-0.116387241529503,14.3025954078193
100,15/04/2022 14:30:00,-0.125074390495443,14.2498174477811
101,15/04/2022 14:45:00,-0.128371639484628,14.1888758331498
102,15/04/2022 15:00:00,-0.131145314190401,14.1239202508286
103,15/04/2022 15:15:00,-0.132627409023297,14.0693410418505
104,15/04/2022 15:30:00,-0.131086556379511,14.0367870223326
105,15/04/2022 15:45:00,-0.128301338944178,14.0161907220175
106,15/04/2022 16:00:00,-0.125351536535726,13.9888931588637
