x0x23,dates,pressure_differential_m,temperature_stream_C
1,14/04/2022 13:45:00,-0.135424710558013,13.739212812371
2,14/04/2022 14:00:00,-0.143671110746433,13.672724716388
3,14/04/2022 14:15:00,-0.146785087249011,13.596354235206
4,14/04/2022 14:30:00,-0.147528366367611,13.5115983183865
5,14/04/2022 14:45:00,-0.152152814608046,13.4062049725165
6,14/04/2022 15:00:00,-0.164182585742664,13.2909465678103
7,14/04/2022 15:15:00,-0.174309218820042,13.1676911911842
8,14/04/2022 15:30:00,-0.179327071366196,13.0263855996365
9,14/04/2022 15:45:00,-0.180544282925684,12.8731250115626
10,14/04/2022 16:00:00,-0.180245432768601,12.7278818673641
11,14/04/2022 16:15:00,-0.1861622244608,12.6194054846766
12,14/04/2022 16:30:00,-0.194887124459651,12.5605932251002
13,14/04/2022 16:45:00,-0.198305152016814,12.5390281717028
14,14/04/2022 17:00:00,-0.196590180024353,12.5337376514748
15,14/04/2022 17:15:00,-0.193688236587583,12.5303521925942
16,14/04/2022 17:30:00,-0.190232673005394,12.5185197199797
17,14/04/2022 17:45:00,-0.185105044935312,12.4932664098571
18,14/04/2022 18:00:00,-0.179967117707099,12.4627446240225
19,14/04/2022 18:15:00,-0.181455124429373,12.4518293037786
20,14/04/2022 18:30:00,-0.189821370030709,12.4906870136369
21,14/04/2022 18:45:00,-0.194975949110593,12.5887829377577
22,14/04/2022 19:00:00,-0.189971092338607,12.7233601745019
23,14/04/2022 19:15:00,-0.18188183476552,12.8626186495861
24,14/04/2022 19:30:00,-0.175404749986883,12.9903763965862
25,14/04/2022 19:45:00,-0.166881556558897,13.102242276243
26,14/04/2022 20:00:00,-0.155694816568194,13.2007174145449
27,14/04/2022 20:15:00,-0.145708171961746,13.2932300922475
28,14/04/2022 20:30:00,-0.145687308044862,13.3936124520214
29,14/04/2022 20:45:00,-0.14918990979448,13.5086286037277
30,14/04/2022 21:00:00,-0.148675006104092,13.6350706875257
31,14/04/2022 21:15:00,-0.148102103333307,13.7606548968177
32,14/04/2022 21:30:00,-0.145730284429777,13.8680132404904
33,14/04/2022 21:45:00,-0.14239910589566,13.9506629962383
34,14/04/2022 22:00:00,-0.139452298930523,14.0120293689536
35,14/04/2022 22:15:00,-0.138633950608555,14.0573219079016
36,14/04/2022 22:30:00,-0.141497405892472,14.0856065592116
37,14/04/2022 22:45:00,-0.142831813304091,14.0951513989223
38,14/04/2022 23:00:00,-0.138294956941889,14.0855298148772
39,14/04/2022 23:15:00,-0.130320632531199,14.0630524932076
40,14/04/2022 23:30:00,-0.126811566583341,14.0367063574222
41,14/04/2022 23:45:00,-0.137379739451694,14.0108930181078
42,15/04/2022 00:00:00,-0.146939004074808,13.9867426989235
43,15/04/2022 00:15:00,-0.14478832341461,13.9649162127398
44,15/04/2022 00:30:00,-0.142008972419401,13.9470574702784
45,15/04/2022 00:45:00,-0.150300978663024,13.9406074517075
46,15/04/2022 01:00:00,-0.157269639825282,13.9488980655566
47,15/04/2022 01:15:00,-0.15441437645055,13.9606326883026
