x0x23,dates,temperature_depth_1_C,temperature_depth_2_C,temperature_depth_3_C,temperature_depth_4_C
1,14/04/2022 13:45:00,13.124,12.467,12.022,11.821
2,14/04/2022 14:00:00,13.081,12.388,11.91,11.686
3,14/04/2022 14:15:00,13.064,12.37,11.874,11.637
4,14/04/2022 14:30:00,13.052,12.37,11.862,11.616
5,14/04/2022 14:45:00,13.038,12.378,11.859,11.605
6,14/04/2022 15:00:00,13.014,12.387,11.863,11.602
7,14/04/2022 15:15:00,12.978,12.394,11.869,11.604
8,14/04/2022 15:30:00,12.939,12.4,11.878,11.607
9,14/04/2022 15:45:00,12.888,12.403,11.886,11.611
10,14/04/2022 16:00:00,12.826,12.402,11.895,11.619
11,14/04/2022 16:15:00,12.76,12.397,11.903,11.625
12,14/04/2022 16:30:00,12.69,12.39,11.91,11.633
13,14/04/2022 16:45:00,12.637,12.378,11.916,11.64
14,14/04/2022 17:00:00,12.595,12.363,11.921,11.646
15,14/04/2022 17:15:00,12.564,12.346,11.924,11.654
16,14/04/2022 17:30:00,12.538,12.331,11.924,11.66
17,14/04/2022 17:45:00,12.515,12.316,11.925,11.666
18,14/04/2022 18:00:00,12.493,12.302,11.924,11.671
19,14/04/2022 18:15:00,12.467,12.289,11.922,11.675
20,14/04/2022 18:30:00,12.443,12.276,11.921,11.68
21,14/04/2022 18:45:00,12.435,12.264,11.918,11.683
22,14/04/2022 19:00:00,12.447,12.252,11.915,11.686
23,14/04/2022 19:15:00,12.477,12.243,11.912,11.689
24,14/04/2022 19:30:00,12.52,12.236,11.909,11.69
25,14/04/2022 19:45:00,12.567,12.234,11.906,11.692
26,14/04/2022 20:00:00,12.634,12.236,11.903,11.693
27,14/04/2022 20:15:00,12.699,12.243,11.901,11.695
28,14/04/2022 20:30:00,12.745,12.254,11.901,11.695
29,14/04/2022 20:45:00,12.797,12.267,11.901,11.696
30,14/04/2022 21:00:00,12.855,12.283,11.904,11.698
31,14/04/2022 21:15:00,12.918,12.301,11.907,11.699
32,14/04/2022 21:30:00,12.98,12.322,11.913,11.702
33,14/04/2022 21:45:00,13.044,12.344,11.919,11.705
34,14/04/2022 22:00:00,13.12,12.372,11.927,11.709
35,14/04/2022 22:15:00,13.18,12.4,11.936,11.712
36,14/04/2022 22:30:00,13.24,12.432,11.948,11.718
37,14/04/2022 22:45:00,13.293,12.464,11.96,11.722
38,14/04/2022 23:00:00,13.323,12.493,11.974,11.728
39,14/04/2022 23:15:00,13.351,12.523,11.987,11.736
40,14/04/2022 23:30:00,13.377,12.551,12.004,11.743
41,14/04/2022 23:45:00,13.391,12.579,12.019,11.751
42,15/04/2022 00:00:00,13.406,12.603,12.036,11.76
43,15/04/2022 00:15:00,13.413,12.625,12.051,11.769
44,15/04/2022 00:30:00,13.419,12.647,12.068,11.778
45,15/04/2022 00:45:00,13.418,12.663,12.083,11.789
46,15/04/2022 01:00:00,13.416,12.68,12.098,11.8
47,15/04/2022 01:15:00,13.424,12.695,12.113,11.81
48,15/04/2022 01:30:00,13.433,12.707,12.128,11.821
49,15/04/2022 01:45:00,13.434,12.72,12.142,11.831
50,15/04/2022 02:00:00,13.439,12.733,12.155,11.842
51,15/04/2022 02:15:00,13.445,12.743,12.168,11.853
52,15/04/2022 02:30:00,13.452,12.755,12.18,11.862
53,15/04/2022 02:45:00,13.458,12.767,12.192,11.872
54,15/04/2022 03:00:00,13.455,12.776,12.204,11.883
55,15/04/2022 03:15:00,13.451,12.784,12.214,11.892
56,15/04/2022 03:30:00,13.446,12.793,12.225,11.903
57,15/04/2022 03:45:00,13.442,12.8,12.236,11.912
58,15/04/2022 04:00:00,13.434,12.808,12.246,11.921
59,15/04/2022 04:15:00,13.43,12.814,12.257,11.931
60,15/04/2022 04:30:00,13.43,12.821,12.266,11.94
61,15/04/2022 04:45:00,13.425,12.828,12.275,11.95
62,15/04/2022 05:00:00,13.418,12.832,12.284,11.959
63,15/04/2022 05:15:00,13.403,12.835,12.293,11.968
64,15/04/2022 05:30:00,13.389,12.84,12.301,11.975
65,15/04/2022 05:45:00,13.377,12.843,12.308,11.984
66,15/04/2022 06:00:00,13.364,12.846,12.316,11.993
67,15/04/2022 06:15:00,13.344,12.847,12.323,12.001
68,15/04/2022 06:30:00,13.327,12.846,12.329,12.009
69,15/04/2022 06:45:00,13.314,12.844,12.334,12.016
70,15/04/2022 07:00:00,13.299,12.844,12.34,12.024
71,15/04/2022 07:15:00,13.282,12.843,12.344,12.03
72,15/04/2022 07:30:00,13.26,12.838,12.349,12.037
73,15/04/2022 07:45:00,13.239,12.835,12.352,12.043
74,15/04/2022 08:00:00,13.218,12.831,12.355,12.05
75,15/04/2022 08:15:00,13.201,12.826,12.358,12.054
76,15/04/2022 08:30:00,13.188,12.82,12.361,12.06
77,15/04/2022 08:45:00,13.181,12.814,12.363,12.066
78,15/04/2022 09:00:00,13.178,12.809,12.364,12.071
79,15/04/2022 09:15:00,13.18,12.805,12.366,12.075
80,15/04/2022 09:30:00,13.188,12.8,12.366,12.08
81,15/04/2022 09:45:00,13.204,12.799,12.367,12.083
82,15/04/2022 10:00:00,13.225,12.797,12.367,12.087
83,15/04/2022 10:15:00,13.255,12.799,12.369,12.09
84,15/04/2022 10:30:00,13.293,12.803,12.369,12.093
85,15/04/2022 10:45:00,13.329,12.809,12.372,12.096
86,15/04/2022 11:00:00,13.377,12.818,12.373,12.099
87,15/04/2022 11:15:00,13.433,12.831,12.376,12.102
88,15/04/2022 11:30:00,13.49,12.844,12.381,12.107
89,15/04/2022 11:45:00,13.539,12.861,12.387,12.11
90,15/04/2022 12:00:00,13.592,12.88,12.393,12.115
91,15/04/2022 12:15:00,13.646,12.901,12.4,12.119
92,15/04/2022 12:30:00,13.693,12.924,12.409,12.124
93,15/04/2022 12:45:00,13.735,12.948,12.419,12.13
94,15/04/2022 13:00:00,13.756,12.972,12.429,12.136
95,15/04/2022 13:15:00,13.76,12.996,12.441,12.142
96,15/04/2022 13:30:00,13.759,13.017,12.453,12.148
97,15/04/2022 13:45:00,13.757,13.035,12.467,12.155
98,15/04/2022 14:00:00,13.762,13.052,12.479,12.165
99,15/04/2022 14:15:00,13.772,13.069,12.493,12.172
100,15/04/2022 14:30:00,13.783,13.084,12.505,12.181
101,15/04/2022 14:45:00,13.775,13.097,12.517,12.19
102,15/04/2022 15:00:00,13.76,13.111,12.529,12.199
103,15/04/2022 15:15:00,13.741,13.121,12.541,12.208
104,15/04/2022 15:30:00,13.718,13.127,12.551,12.217
105,15/04/2022 15:45:00,13.7,13.132,12.562,12.227
106,15/04/2022 16:00:00,13.684,13.135,12.573,12.236
107,15/04/2022 16:15:00,13.67,13.136,12.58,12.243
108,15/04/2022 16:30:00,13.652,13.138,12.589,12.252
109,15/04/2022 16:45:00,13.626,13.138,12.597,12.261
