datetime,P95(m.a.s.l),B52(m),minutes
2021-12-10 00:00:00,164.27,0.0,0
2021-12-10 00:10:00,164.28,0.0,10
2021-12-10 00:20:00,164.28,0.0,20
2021-12-10 00:30:00,164.28,0.0,30
2021-12-10 00:40:00,164.29,0.0,40
2021-12-10 00:50:00,164.29,0.0,50
2021-12-10 01:00:00,164.29,0.0,60
2021-12-10 01:10:00,164.28,0.0,70
2021-12-10 01:20:00,164.27,0.0,80
2021-12-10 01:30:00,164.26,0.0,90
2021-12-10 01:40:00,164.26,0.0,100
2021-12-10 01:50:00,164.26,0.0,110
2021-12-10 02:00:00,164.25,0.0,120
2021-12-10 02:10:00,164.24,0.0,130
2021-12-10 02:20:00,164.24,0.0,140
2021-12-10 02:30:00,164.24,0.0,150
2021-12-10 02:40:00,164.23,0.0,160
2021-12-10 02:50:00,164.23,0.0,170
2021-12-10 03:00:00,164.23,0.0,180
2021-12-10 03:10:00,164.23,0.0,190
2021-12-10 03:20:00,164.24,0.0,200
2021-12-10 03:30:00,164.25,0.0,210
2021-12-10 03:40:00,164.25,0.0,220
2021-12-10 03:50:00,164.26,0.0,230
2021-12-10 04:00:00,164.26,0.0,240
2021-12-10 04:10:00,164.25,0.0,250
2021-12-10 04:20:00,164.25,0.0,260
2021-12-10 04:30:00,164.25,0.0,270
2021-12-10 04:40:00,164.24,0.0,280
2021-12-10 04:50:00,164.24,0.0,290
2021-12-10 05:00:00,164.23,0.0,300
2021-12-10 05:10:00,164.23,0.0,310
2021-12-10 05:20:00,164.23,0.0,320
2021-12-10 05:30:00,164.24,0.0,330
2021-12-10 05:40:00,164.23,0.0,340
2021-12-10 05:50:00,164.23,0.0,350
2021-12-10 06:00:00,164.24,0.0,360
2021-12-10 06:10:00,164.25,0.0,370
2021-12-10 06:20:00,164.26,0.0,380
2021-12-10 06:30:00,164.26,0.0,390
2021-12-10 06:40:00,164.27,0.0,400
2021-12-10 06:50:00,164.28,0.0,410
2021-12-10 07:00:00,164.28,0.0,420
2021-12-10 07:10:00,164.28,0.0,430
2021-12-10 07:20:00,164.28,0.0,440
2021-12-10 07:30:00,164.28,0.0,450
2021-12-10 07:40:00,164.28,0.0,460
2021-12-10 07:50:00,164.29,0.0,470
2021-12-10 08:00:00,164.28,0.0,480
2021-12-10 08:10:00,164.28,0.0,490
2021-12-10 08:20:00,164.29,0.0,500
2021-12-10 08:30:00,164.3,0.0,510
2021-12-10 08:40:00,164.31,0.0,520
2021-12-10 08:50:00,164.3,0.0,530
2021-12-10 09:00:00,164.3,0.0,540
2021-12-10 09:10:00,164.32,0.0,550
2021-12-10 09:20:00,164.33,0.0,560
2021-12-10 09:30:00,164.33,0.0,570
2021-12-10 09:40:00,164.33,0.0,580
2021-12-10 09:50:00,164.34,0.0,590
2021-12-10 10:00:00,164.34,0.0,600
2021-12-10 10:10:00,164.33,0.0,610
2021-12-10 10:20:00,164.33,0.0,620
2021-12-10 10:30:00,164.33,0.0,630
2021-12-10 10:40:00,164.33,0.0,640
2021-12-10 10:50:00,164.33,0.0,650
2021-12-10 11:00:00,164.33,0.0,660
2021-12-10 11:10:00,164.33,0.0,670
2021-12-10 11:20:00,164.33,0.0,680
2021-12-10 11:30:00,164.34,0.0,690
2021-12-10 11:40:00,164.34,0.0,700
2021-12-10 11:50:00,164.34,0.0,710
2021-12-10 12:00:00,164.33,0.0,720
2021-12-10 12:10:00,164.32,0.0,730
2021-12-10 12:20:00,164.33,0.0,740
2021-12-10 12:30:00,164.32,0.0,750
2021-12-10 12:40:00,164.33,0.0,760
2021-12-10 12:50:00,164.32,0.0,770
2021-12-10 13:00:00,164.32,0.0,780
2021-12-10 13:10:00,164.32,0.0,790
2021-12-10 13:20:00,164.31,0.0,800
2021-12-10 13:30:00,164.31,0.0,810
2021-12-10 13:40:00,164.31,0.0,820
2021-12-10 13:50:00,164.3,0.0,830
2021-12-10 14:00:00,164.3,0.0,840
2021-12-10 14:10:00,164.3,0.0,850
2021-12-10 14:20:00,164.29,0.0,860
2021-12-10 14:30:00,164.29,0.0,870
2021-12-10 14:40:00,164.28,0.0,880
2021-12-10 14:50:00,164.28,0.0,890
2021-12-10 15:00:00,164.28,0.0,900
2021-12-10 15:10:00,164.27,0.0,910
2021-12-10 15:20:00,164.27,0.0,920
2021-12-10 15:30:00,164.27,0.0,930
2021-12-10 15:40:00,164.26,0.0,940
2021-12-10 15:50:00,164.26,0.0,950
2021-12-10 16:00:00,164.26,0.0,960
2021-12-10 16:10:00,164.26,0.0,970
2021-12-10 16:20:00,164.25,0.0,980
2021-12-10 16:30:00,164.25,0.0,990
2021-12-10 16:40:00,164.25,0.0,1000
2021-12-10 16:50:00,164.24,0.0,1010
2021-12-10 17:00:00,164.24,0.0,1020
2021-12-10 17:10:00,164.24,0.0,1030
2021-12-10 17:20:00,164.24,0.0,1040
2021-12-10 17:30:00,164.23,0.0,1050
2021-12-10 17:40:00,164.23,0.0,1060
2021-12-10 17:50:00,164.23,0.0,1070
2021-12-10 18:00:00,164.23,0.0,1080
2021-12-10 18:10:00,164.22,0.0,1090
2021-12-10 18:20:00,164.22,0.0,1100
2021-12-10 18:30:00,164.22,0.0,1110
2021-12-10 18:40:00,164.22,0.0,1120
2021-12-10 18:50:00,164.21,0.0,1130
2021-12-10 19:00:00,164.21,0.0,1140
2021-12-10 19:10:00,164.21,0.0,1150
2021-12-10 19:20:00,164.21,0.0,1160
2021-12-10 19:30:00,164.21,0.0,1170
2021-12-10 19:40:00,164.21,0.0,1180
2021-12-10 19:50:00,164.2,0.0,1190
2021-12-10 20:00:00,164.2,0.0,1200
2021-12-10 20:10:00,164.2,0.0,1210
2021-12-10 20:20:00,164.2,0.0,1220
2021-12-10 20:30:00,164.2,0.0,1230
2021-12-10 20:40:00,164.19,0.0,1240
2021-12-10 20:50:00,164.19,0.0,1250
2021-12-10 21:00:00,164.19,0.0,1260
2021-12-10 21:10:00,164.19,0.0,1270
2021-12-10 21:20:00,164.19,0.0,1280
2021-12-10 21:30:00,164.18,0.0,1290
