"Titre de tracé : p38_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Pression)","Temp., °C (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Température)","Hôte connecté (LGR S/N: 10117155)","Arrêté (LGR S/N: 10117155)","Fin de fichier (LGR S/N: 10117155)"
1,11/04/16 11:00:00 AM,1.43895,9.163,,,
2,11/04/16 11:15:00 AM,1.37057,6.357,,,
3,11/04/16 11:30:00 AM,0.62821,8.394,,,
4,11/04/16 11:45:00 AM,0.62821,8.444,,,
5,11/04/16 12:00:00 PM,1.22283,8.444,,,
6,11/04/16 12:15:00 PM,1.98230,8.494,,,
7,11/04/16 12:30:00 PM,1.68559,8.494,,,
8,11/04/16 12:45:00 PM,1.60806,8.519,,,
9,11/04/16 01:00:00 PM,1.46215,8.543,,,
10,11/04/16 01:15:00 PM,1.46642,8.568,,,
11,11/04/16 01:30:00 PM,1.45971,8.593,,,
12,11/04/16 01:45:00 PM,1.45971,8.618,,,
13,11/04/16 02:00:00 PM,1.45726,8.643,,,
14,11/04/16 02:15:00 PM,1.45788,8.693,,,
15,11/04/16 02:30:00 PM,1.45665,8.717,,,
16,11/04/16 02:45:00 PM,1.45421,8.742,,,
17,11/04/16 03:00:00 PM,1.45421,8.767,,,
18,11/04/16 03:15:00 PM,1.45421,8.792,,,
19,11/04/16 03:30:00 PM,1.45482,8.841,,,
20,11/04/16 03:45:00 PM,1.45482,8.866,,,
21,11/04/16 04:00:00 PM,1.45543,8.891,,,
22,11/04/16 04:15:00 PM,1.45360,8.916,,,
23,11/04/16 04:30:00 PM,1.45360,8.941,,,
24,11/04/16 04:45:00 PM,1.45421,8.965,,,
25,11/04/16 05:00:00 PM,1.45482,8.965,,,
26,11/04/16 05:15:00 PM,1.45482,8.990,,,
27,11/04/16 05:30:00 PM,1.45482,9.015,,,
28,11/04/16 05:45:00 PM,1.45543,9.040,,,
29,11/04/16 06:00:00 PM,1.45665,9.064,,,
30,11/04/16 06:15:00 PM,1.45849,9.064,,,
31,11/04/16 06:30:00 PM,1.45482,9.089,,,
32,11/04/16 06:45:00 PM,1.45543,9.114,,,
33,11/04/16 07:00:00 PM,1.45482,9.114,,,
34,11/04/16 07:15:00 PM,1.45543,9.139,,,
35,11/04/16 07:30:00 PM,1.45482,9.163,,,
36,11/04/16 07:45:00 PM,1.45543,9.163,,,
37,11/04/16 08:00:00 PM,1.45665,9.188,,,
38,11/04/16 08:15:00 PM,1.45421,9.213,,,
39,11/04/16 08:30:00 PM,1.45482,9.238,,,
40,11/04/16 08:45:00 PM,1.45543,9.238,,,
41,11/04/16 09:00:00 PM,1.45604,9.238,,,
42,11/04/16 09:15:00 PM,1.45604,9.262,,,
43,11/04/16 09:30:00 PM,1.45482,9.262,,,
44,11/04/16 09:45:00 PM,1.45665,9.262,,,
45,11/04/16 10:00:00 PM,1.45604,9.287,,,
46,11/04/16 10:15:00 PM,1.45421,9.287,,,
47,11/04/16 10:30:00 PM,1.45665,9.287,,,
48,11/04/16 10:45:00 PM,1.45360,9.287,,,
49,11/04/16 11:00:00 PM,1.45482,9.287,,,
50,11/04/16 11:15:00 PM,1.45421,9.312,,,
51,11/04/16 11:30:00 PM,1.46032,9.312,,,
52,11/04/16 11:45:00 PM,1.45482,9.336,,,
53,11/05/16 12:00:00 AM,1.45788,9.336,,,
54,11/05/16 12:15:00 AM,1.45543,9.361,,,
55,11/05/16 12:30:00 AM,1.45665,9.361,,,
56,11/05/16 12:45:00 AM,1.45055,9.361,,,
57,11/05/16 01:00:00 AM,1.45116,9.386,,,
58,11/05/16 01:15:00 AM,1.45177,9.386,,,
59,11/05/16 01:30:00 AM,1.45299,9.386,,,
60,11/05/16 01:45:00 AM,1.45177,9.386,,,
61,11/05/16 02:00:00 AM,1.45177,9.410,,,
62,11/05/16 02:15:00 AM,1.45116,9.410,,,
63,11/05/16 02:30:00 AM,1.44994,9.410,,,
64,11/05/16 02:45:00 AM,1.45238,9.410,,,
65,11/05/16 03:00:00 AM,1.45177,9.435,,,
66,11/05/16 03:15:00 AM,1.45116,9.435,,,
67,11/05/16 03:30:00 AM,1.45238,9.435,,,
68,11/05/16 03:45:00 AM,1.45177,9.435,,,
69,11/05/16 04:00:00 AM,1.45238,9.460,,,
70,11/05/16 04:15:00 AM,1.44933,9.460,,,
71,11/05/16 04:30:00 AM,1.45116,9.460,,,
72,11/05/16 04:45:00 AM,1.45116,9.485,,,
73,11/05/16 05:00:00 AM,1.45177,9.485,,,
74,11/05/16 05:15:00 AM,1.45177,9.509,,,
75,11/05/16 05:30:00 AM,1.45177,9.509,,,
76,11/05/16 05:45:00 AM,1.45726,9.509,,,
77,11/05/16 06:00:00 AM,1.45299,9.509,,,
78,11/05/16 06:15:00 AM,1.45360,9.534,,,
79,11/05/16 06:30:00 AM,1.45238,9.534,,,
80,11/05/16 06:45:00 AM,1.45360,9.534,,,
81,11/05/16 07:00:00 AM,1.45421,9.534,,,
82,11/05/16 07:15:00 AM,1.45665,9.558,,,
83,11/05/16 07:30:00 AM,1.45238,9.558,,,
84,11/05/16 07:45:00 AM,1.45299,9.558,,,
85,11/05/16 08:00:00 AM,1.45421,9.558,,,
86,11/05/16 08:15:00 AM,1.45360,9.558,,,
87,11/05/16 08:30:00 AM,1.45604,9.558,,,
88,11/05/16 08:45:00 AM,1.45543,9.558,,,
89,11/05/16 09:00:00 AM,1.45299,9.558,,,
90,11/05/16 09:15:00 AM,1.45360,9.583,,,
91,11/05/16 09:30:00 AM,1.45360,9.583,,,
92,11/05/16 09:45:00 AM,1.45788,9.583,,,
93,11/05/16 10:00:00 AM,1.45360,9.608,,,
94,11/05/16 10:15:00 AM,1.45299,9.608,,,
95,11/05/16 10:30:00 AM,1.45299,9.632,,,
96,11/05/16 10:45:00 AM,1.45238,9.632,,,
97,11/05/16 11:00:00 AM,1.45360,9.657,,,
98,11/05/16 11:15:00 AM,1.45360,9.682,,,
99,11/05/16 11:30:00 AM,1.46703,9.682,,,
100,11/05/16 11:45:00 AM,1.45299,9.682,,,
101,11/05/16 12:00:00 PM,1.45360,9.706,,,
102,11/05/16 12:15:00 PM,1.45421,9.706,,,
103,11/05/16 12:30:00 PM,1.45299,9.731,,,
104,11/05/16 12:45:00 PM,1.45299,9.756,,,
105,11/05/16 01:00:00 PM,1.45238,9.780,,,
106,11/05/16 01:15:00 PM,1.45177,9.805,,,
107,11/05/16 01:30:00 PM,1.45177,9.805,,,
108,11/05/16 01:45:00 PM,1.45360,9.829,,,
109,11/05/16 02:00:00 PM,1.45360,9.829,,,
110,11/05/16 02:15:00 PM,1.45665,9.854,,,
111,11/05/16 02:30:00 PM,1.45421,9.879,,,
112,11/05/16 02:45:00 PM,1.45421,9.903,,,
113,11/05/16 03:00:00 PM,1.45299,9.903,,,
114,11/05/16 03:15:00 PM,1.45421,9.928,,,
115,11/05/16 03:30:00 PM,1.45299,9.928,,,
116,11/05/16 03:45:00 PM,1.45421,9.928,,,
117,11/05/16 04:00:00 PM,1.45482,9.928,,,
118,11/05/16 04:15:00 PM,1.45299,9.952,,,
119,11/05/16 04:30:00 PM,1.45238,9.977,,,
120,11/05/16 04:45:00 PM,1.45238,9.977,,,
121,11/05/16 05:00:00 PM,1.45360,10.001,,,
122,11/05/16 05:15:00 PM,1.45360,10.001,,,
123,11/05/16 05:30:00 PM,1.45604,10.026,,,
124,11/05/16 05:45:00 PM,1.45482,10.026,,,
125,11/05/16 06:00:00 PM,1.45543,10.026,,,
126,11/05/16 06:15:00 PM,1.45299,10.026,,,
127,11/05/16 06:30:00 PM,1.45421,10.051,,,
128,11/05/16 06:45:00 PM,1.45543,10.026,,,
129,11/05/16 07:00:00 PM,1.45421,10.001,,,
130,11/05/16 07:15:00 PM,1.45482,9.977,,,
131,11/05/16 07:30:00 PM,1.45360,9.977,,,
132,11/05/16 07:45:00 PM,1.45238,9.977,,,
133,11/05/16 08:00:00 PM,1.45421,9.952,,,
134,11/05/16 08:15:00 PM,1.45482,9.952,,,
135,11/05/16 08:30:00 PM,1.45238,9.928,,,
136,11/05/16 08:45:00 PM,1.45299,9.928,,,
137,11/05/16 09:00:00 PM,1.45238,9.903,,,
138,11/05/16 09:15:00 PM,1.45421,9.879,,,
139,11/05/16 09:30:00 PM,1.45238,9.854,,,
140,11/05/16 09:45:00 PM,1.45238,9.829,,,
