Titre de tracé : p38_p,,,
#,"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Pression)","Temp., °C (LGR S/N: 10117155, SEN S/N: 10117155, LBL: Température)"
1,11/04/16 11:30:00 PM,1.46032,9.312
2,11/04/16 11:45:00 PM,1.45482,9.336
3,11/05/16 12:00:00 AM,1.45788,9.336
4,11/05/16 12:15:00 AM,1.45543,9.361
5,11/05/16 12:30:00 AM,1.45665,9.361
6,11/05/16 12:45:00 AM,1.45055,9.361
7,11/05/16 01:00:00 AM,1.45116,9.386
8,11/05/16 01:15:00 AM,1.45177,9.386
9,11/05/16 01:30:00 AM,1.45299,9.386
10,11/05/16 01:45:00 AM,1.45177,9.386
11,11/05/16 02:00:00 AM,1.45177,9.410
12,11/05/16 02:15:00 AM,1.45116,9.410
13,11/05/16 02:30:00 AM,1.44994,9.410
14,11/05/16 02:45:00 AM,1.45238,9.410
15,11/05/16 03:00:00 AM,1.45177,9.435
16,11/05/16 03:15:00 AM,1.45116,9.435
17,11/05/16 03:30:00 AM,1.45238,9.435
18,11/05/16 03:45:00 AM,1.45177,9.435
19,11/05/16 04:00:00 AM,1.45238,9.460
20,11/05/16 04:15:00 AM,1.44933,9.460
21,11/05/16 04:30:00 AM,1.45116,9.460
22,11/05/16 04:45:00 AM,1.45116,9.485
23,11/05/16 05:00:00 AM,1.45177,9.485
24,11/05/16 05:15:00 AM,1.45177,9.509
25,11/05/16 05:30:00 AM,1.45177,9.509
26,11/05/16 05:45:00 AM,1.45726,9.509
27,11/05/16 06:00:00 AM,1.45299,9.509
28,11/05/16 06:15:00 AM,1.45360,9.534
29,11/05/16 06:30:00 AM,1.45238,9.534
30,11/05/16 06:45:00 AM,1.45360,9.534
31,11/05/16 07:00:00 AM,1.45421,9.534
32,11/05/16 07:15:00 AM,1.45665,9.558
33,11/05/16 07:30:00 AM,1.45238,9.558
34,11/05/16 07:45:00 AM,1.45299,9.558
35,11/05/16 08:00:00 AM,1.45421,9.558
36,11/05/16 08:15:00 AM,1.45360,9.558
37,11/05/16 08:30:00 AM,1.45604,9.558
38,11/05/16 08:45:00 AM,1.45543,9.558
39,11/05/16 09:00:00 AM,1.45299,9.558
40,11/05/16 09:15:00 AM,1.45360,9.583
41,11/05/16 09:30:00 AM,1.45360,9.583
42,11/05/16 09:45:00 AM,1.45788,9.583
43,11/05/16 10:00:00 AM,1.45360,9.608
44,11/05/16 10:15:00 AM,1.45299,9.608
45,11/05/16 10:30:00 AM,1.45299,9.632
46,11/05/16 10:45:00 AM,1.45238,9.632
47,11/05/16 11:00:00 AM,1.45360,9.657
48,11/05/16 11:15:00 AM,1.45360,9.682
49,11/05/16 11:30:00 AM,1.46703,9.682
50,11/05/16 11:45:00 AM,1.45299,9.682
51,11/05/16 12:00:00 PM,1.45360,9.706
52,11/05/16 12:15:00 PM,1.45421,9.706
53,11/05/16 12:30:00 PM,1.45299,9.731
54,11/05/16 12:45:00 PM,1.45299,9.756
55,11/05/16 01:00:00 PM,1.45238,9.780
56,11/05/16 01:15:00 PM,1.45177,9.805
57,11/05/16 01:30:00 PM,1.45177,9.805
58,11/05/16 01:45:00 PM,1.45360,9.829
59,11/05/16 02:00:00 PM,1.45360,9.829
60,11/05/16 02:15:00 PM,1.45665,9.854
61,11/05/16 02:30:00 PM,1.45421,9.879
62,11/05/16 02:45:00 PM,1.45421,9.903
63,11/05/16 03:00:00 PM,1.45299,9.903
64,11/05/16 03:15:00 PM,1.45421,9.928
65,11/05/16 03:30:00 PM,1.45299,9.928
66,11/05/16 03:45:00 PM,1.45421,9.928
67,11/05/16 04:00:00 PM,1.45482,9.928
68,11/05/16 04:15:00 PM,1.45299,9.952
69,11/05/16 04:30:00 PM,1.45238,9.977
70,11/05/16 04:45:00 PM,1.45238,9.977
71,11/05/16 05:00:00 PM,1.45360,10.001
72,11/05/16 05:15:00 PM,1.45360,10.001
73,11/05/16 05:30:00 PM,1.45604,10.026
74,11/05/16 05:45:00 PM,1.45482,10.026
75,11/05/16 06:00:00 PM,1.45543,10.026
76,11/05/16 06:15:00 PM,1.45299,10.026
77,11/05/16 06:30:00 PM,1.45421,10.051
78,11/05/16 06:45:00 PM,1.45543,10.026
79,11/05/16 07:00:00 PM,1.45421,10.001
80,11/05/16 07:15:00 PM,1.45482,9.977
81,11/05/16 07:30:00 PM,1.45360,9.977
82,11/05/16 07:45:00 PM,1.45238,9.977
83,11/05/16 08:00:00 PM,1.45421,9.952
84,11/05/16 08:15:00 PM,1.45482,9.952
85,11/05/16 08:30:00 PM,1.45238,9.928
86,11/05/16 08:45:00 PM,1.45299,9.928
87,11/05/16 09:00:00 PM,1.45238,9.903
88,11/05/16 09:15:00 PM,1.45421,9.879
89,11/05/16 09:30:00 PM,1.45238,9.854
90,11/05/16 09:45:00 PM,1.45238,9.829
91,11/05/16 10:00:00 PM,1.45971,9.805
92,11/05/16 10:15:00 PM,1.45360,9.780
93,11/05/16 10:30:00 PM,1.45421,9.780
94,11/05/16 10:45:00 PM,1.45360,9.756
95,11/05/16 11:00:00 PM,1.45482,9.731
96,11/05/16 11:15:00 PM,1.45177,9.731
97,11/05/16 11:30:00 PM,1.45116,9.706
98,11/05/16 11:45:00 PM,1.45116,9.682
99,11/06/16 12:00:00 AM,1.45177,9.657
100,11/06/16 12:15:00 AM,1.45482,9.632
101,11/06/16 12:30:00 AM,1.45177,9.608
102,11/06/16 12:45:00 AM,1.45238,9.583
103,11/06/16 01:00:00 AM,1.45177,9.558
104,11/06/16 01:15:00 AM,1.45116,9.558
105,11/06/16 01:30:00 AM,1.45055,9.534
106,11/06/16 01:45:00 AM,1.45055,9.509
107,11/06/16 02:00:00 AM,1.45604,9.485
108,11/06/16 02:15:00 AM,1.45116,9.460
109,11/06/16 02:30:00 AM,1.45116,9.435
110,11/06/16 02:45:00 AM,1.45177,9.435
111,11/06/16 03:00:00 AM,1.45177,9.410
112,11/06/16 03:15:00 AM,1.45116,9.386
113,11/06/16 03:30:00 AM,1.45116,9.361
114,11/06/16 03:45:00 AM,1.45177,9.336
115,11/06/16 04:00:00 AM,1.45055,9.312
116,11/06/16 04:15:00 AM,1.45055,9.287
117,11/06/16 04:30:00 AM,1.45360,9.287
118,11/06/16 04:45:00 AM,1.45116,9.262
119,11/06/16 05:00:00 AM,1.45421,9.238
120,11/06/16 05:15:00 AM,1.44933,9.188
121,11/06/16 05:30:00 AM,1.44994,9.163
122,11/06/16 05:45:00 AM,1.45238,9.139
123,11/06/16 06:00:00 AM,1.45177,9.089
124,11/06/16 06:15:00 AM,1.44933,9.064
125,11/06/16 06:30:00 AM,1.45055,9.040
126,11/06/16 06:45:00 AM,1.44994,8.990
127,11/06/16 07:00:00 AM,1.44933,8.965
128,11/06/16 07:15:00 AM,1.44994,8.965
129,11/06/16 07:30:00 AM,1.44872,8.941
130,11/06/16 07:45:00 AM,1.45055,8.916
131,11/06/16 08:00:00 AM,1.44750,8.891
132,11/06/16 08:15:00 AM,1.44933,8.841
133,11/06/16 08:30:00 AM,1.44750,8.817
134,11/06/16 08:45:00 AM,1.45055,8.817
135,11/06/16 09:00:00 AM,1.45116,8.792
136,11/06/16 09:15:00 AM,1.44689,8.792
137,11/06/16 09:30:00 AM,1.44750,8.742
138,11/06/16 09:45:00 AM,1.44689,8.742
139,11/06/16 10:00:00 AM,1.44933,8.717
140,11/06/16 10:15:00 AM,1.44750,8.717
141,11/06/16 10:30:00 AM,1.44933,8.693
142,11/06/16 10:45:00 AM,1.44689,8.717
143,11/06/16 11:00:00 AM,1.44567,8.693
144,11/06/16 11:15:00 AM,1.44444,8.693
145,11/06/16 11:30:00 AM,1.44628,8.693
146,11/06/16 11:45:00 AM,1.45055,8.693
147,11/06/16 12:00:00 PM,1.44933,8.693
148,11/06/16 12:15:00 PM,1.44689,8.717
149,11/06/16 12:30:00 PM,1.44750,8.717
150,11/06/16 12:45:00 PM,1.44872,8.717
151,11/06/16 01:00:00 PM,1.44811,8.717
152,11/06/16 01:15:00 PM,1.45238,8.717
153,11/06/16 01:30:00 PM,1.44628,8.717
154,11/06/16 01:45:00 PM,1.44567,8.742
155,11/06/16 02:00:00 PM,1.45849,8.767
156,11/06/16 02:15:00 PM,1.44689,8.792
157,11/06/16 02:30:00 PM,1.44689,8.817
158,11/06/16 02:45:00 PM,1.44933,8.841
159,11/06/16 03:00:00 PM,1.45726,8.891
160,11/06/16 03:15:00 PM,1.44933,8.891
161,11/06/16 03:30:00 PM,1.44811,8.916
162,11/06/16 03:45:00 PM,1.44689,8.965
163,11/06/16 04:00:00 PM,1.44567,8.965
164,11/06/16 04:15:00 PM,1.44689,8.965
165,11/06/16 04:30:00 PM,1.44750,8.990
166,11/06/16 04:45:00 PM,1.44750,8.990
167,11/06/16 05:00:00 PM,1.44872,8.990
168,11/06/16 05:15:00 PM,1.44567,8.990
169,11/06/16 05:30:00 PM,1.44750,8.990
170,11/06/16 05:45:00 PM,1.44811,8.990
171,11/06/16 06:00:00 PM,1.44505,8.990
172,11/06/16 06:15:00 PM,1.44689,8.990
173,11/06/16 06:30:00 PM,1.44628,8.990
174,11/06/16 06:45:00 PM,1.44689,8.990
175,11/06/16 07:00:00 PM,1.44994,9.015
176,11/06/16 07:15:00 PM,1.44689,8.990
177,11/06/16 07:30:00 PM,1.44750,9.015
178,11/06/16 07:45:00 PM,1.44261,8.990
179,11/06/16 08:00:00 PM,1.44322,8.990
180,11/06/16 08:15:00 PM,1.44628,8.990
181,11/06/16 08:30:00 PM,1.43956,8.990
182,11/06/16 08:45:00 PM,1.44139,8.965
183,11/06/16 09:00:00 PM,1.44139,8.941
184,11/06/16 09:15:00 PM,1.44017,8.916
185,11/06/16 09:30:00 PM,1.44078,8.916
186,11/06/16 09:45:00 PM,1.44322,8.891
187,11/06/16 10:00:00 PM,1.43956,8.866
188,11/06/16 10:15:00 PM,1.44017,8.841
189,11/06/16 10:30:00 PM,1.44017,8.792
190,11/06/16 10:45:00 PM,1.43895,8.767
191,11/06/16 11:00:00 PM,1.44444,8.742
192,11/06/16 11:15:00 PM,1.43834,8.742
193,11/06/16 11:30:00 PM,1.43834,8.717
194,11/06/16 11:45:00 PM,1.43895,8.693
195,11/07/16 12:00:00 AM,1.43895,8.668
196,11/07/16 12:15:00 AM,1.44139,8.643
197,11/07/16 12:30:00 AM,1.44017,8.618
198,11/07/16 12:45:00 AM,1.43834,8.593
199,11/07/16 01:00:00 AM,1.44139,8.568
200,11/07/16 01:15:00 AM,1.43834,8.543
201,11/07/16 01:30:00 AM,1.43895,8.519
202,11/07/16 01:45:00 AM,1.43834,8.494
203,11/07/16 02:00:00 AM,1.43895,8.469
204,11/07/16 02:15:00 AM,1.43834,8.444
205,11/07/16 02:30:00 AM,1.43773,8.419
206,11/07/16 02:45:00 AM,1.44017,8.394
207,11/07/16 03:00:00 AM,1.44933,8.369
208,11/07/16 03:15:00 AM,1.43773,8.344
209,11/07/16 03:30:00 AM,1.43651,8.319
210,11/07/16 03:45:00 AM,1.44017,8.295
211,11/07/16 04:00:00 AM,1.43773,8.245
212,11/07/16 04:15:00 AM,1.43529,8.220
213,11/07/16 04:30:00 AM,1.43773,8.195
214,11/07/16 04:45:00 AM,1.43651,8.170
215,11/07/16 05:00:00 AM,1.43834,8.145
216,11/07/16 05:15:00 AM,1.43834,8.120
217,11/07/16 05:30:00 AM,1.43468,8.095
218,11/07/16 05:45:00 AM,1.43712,8.070
219,11/07/16 06:00:00 AM,1.43651,8.020
220,11/07/16 06:15:00 AM,1.43590,7.995
221,11/07/16 06:30:00 AM,1.43895,7.970
222,11/07/16 06:45:00 AM,1.43895,7.945
223,11/07/16 07:00:00 AM,1.44078,7.895
224,11/07/16 07:15:00 AM,1.43468,7.845
225,11/07/16 07:30:00 AM,1.43407,7.820
226,11/07/16 07:45:00 AM,1.43468,7.795
227,11/07/16 08:00:00 AM,1.43468,7.770
228,11/07/16 08:15:00 AM,1.43834,7.745
229,11/07/16 08:30:00 AM,1.43346,7.720
230,11/07/16 08:45:00 AM,1.43468,7.695
231,11/07/16 09:00:00 AM,1.43468,7.670
232,11/07/16 09:15:00 AM,1.43529,7.645
233,11/07/16 09:30:00 AM,1.43346,7.645
234,11/07/16 09:45:00 AM,1.43468,7.619
235,11/07/16 10:00:00 AM,1.43346,7.594
236,11/07/16 10:15:00 AM,1.43284,7.569
237,11/07/16 10:30:00 AM,1.43529,7.569
238,11/07/16 10:45:00 AM,1.43284,7.544
239,11/07/16 11:00:00 AM,1.43284,7.544
240,11/07/16 11:15:00 AM,1.43284,7.519
241,11/07/16 11:30:00 AM,1.43468,7.519
242,11/07/16 11:45:00 AM,1.47436,7.494
243,11/07/16 12:00:00 PM,1.43346,7.494
244,11/07/16 12:15:00 PM,1.43223,7.494
245,11/07/16 12:30:00 PM,1.43284,7.519
246,11/07/16 12:45:00 PM,1.43162,7.494
247,11/07/16 01:00:00 PM,1.43468,7.494
248,11/07/16 01:15:00 PM,1.43346,7.519
249,11/07/16 01:30:00 PM,1.43284,7.519
250,11/07/16 01:45:00 PM,1.43407,7.544
251,11/07/16 02:00:00 PM,1.43407,7.569
252,11/07/16 02:15:00 PM,1.43284,7.569
253,11/07/16 02:30:00 PM,1.43223,7.594
254,11/07/16 02:45:00 PM,1.43284,7.619
255,11/07/16 03:00:00 PM,1.43162,7.619
256,11/07/16 03:15:00 PM,1.43162,7.645
257,11/07/16 03:30:00 PM,1.43162,7.670
258,11/07/16 03:45:00 PM,1.44444,7.670
259,11/07/16 04:00:00 PM,1.43101,7.695
260,11/07/16 04:15:00 PM,1.43590,7.695
261,11/07/16 04:30:00 PM,1.43284,7.720
262,11/07/16 04:45:00 PM,1.43162,7.720
263,11/07/16 05:00:00 PM,1.43223,7.720
264,11/07/16 05:15:00 PM,1.43651,7.745
265,11/07/16 05:30:00 PM,1.43223,7.745
266,11/07/16 05:45:00 PM,1.44750,7.745
267,11/07/16 06:00:00 PM,1.43407,7.770
268,11/07/16 06:15:00 PM,1.43651,7.770
269,11/07/16 06:30:00 PM,1.43223,7.770
270,11/07/16 06:45:00 PM,1.43284,7.795
271,11/07/16 07:00:00 PM,1.43040,7.795
272,11/07/16 07:15:00 PM,1.43284,7.795
273,11/07/16 07:30:00 PM,1.43101,7.820
274,11/07/16 07:45:00 PM,1.43040,7.820
275,11/07/16 08:00:00 PM,1.43101,7.820
276,11/07/16 08:15:00 PM,1.43223,7.845
277,11/07/16 08:30:00 PM,1.43162,7.845
278,11/07/16 08:45:00 PM,1.43162,7.870
279,11/07/16 09:00:00 PM,1.44567,7.870
280,11/07/16 09:15:00 PM,1.43101,7.870
281,11/07/16 09:30:00 PM,1.43162,7.895
282,11/07/16 09:45:00 PM,1.43284,7.895
283,11/07/16 10:00:00 PM,1.43040,7.895
284,11/07/16 10:15:00 PM,1.42979,7.920
285,11/07/16 10:30:00 PM,1.42979,7.920
286,11/07/16 10:45:00 PM,1.43040,7.920
287,11/07/16 11:00:00 PM,1.43101,7.920
288,11/07/16 11:15:00 PM,1.43040,7.945
289,11/07/16 11:30:00 PM,1.43101,7.945
290,11/07/16 11:45:00 PM,1.43040,7.945
291,11/08/16 12:00:00 AM,1.43101,7.945
292,11/08/16 12:15:00 AM,1.43223,7.920
293,11/08/16 12:30:00 AM,1.43101,7.920
294,11/08/16 12:45:00 AM,1.43040,7.920
295,11/08/16 01:00:00 AM,1.43162,7.870
296,11/08/16 01:15:00 AM,1.43040,7.870
297,11/08/16 01:30:00 AM,1.43101,7.870
298,11/08/16 01:45:00 AM,1.42979,7.870
299,11/08/16 02:00:00 AM,1.43162,7.870
300,11/08/16 02:15:00 AM,1.43590,7.870
301,11/08/16 02:30:00 AM,1.43040,7.870
302,11/08/16 02:45:00 AM,1.42918,7.870
303,11/08/16 03:00:00 AM,1.43712,7.870
304,11/08/16 03:15:00 AM,1.43040,7.870
305,11/08/16 03:30:00 AM,1.43040,7.870
306,11/08/16 03:45:00 AM,1.43468,7.845
307,11/08/16 04:00:00 AM,1.42979,7.845
308,11/08/16 04:15:00 AM,1.42979,7.795
309,11/08/16 04:30:00 AM,1.42979,7.795
310,11/08/16 04:45:00 AM,1.42979,7.770
311,11/08/16 05:00:00 AM,1.42796,7.770
312,11/08/16 05:15:00 AM,1.42857,7.720
313,11/08/16 05:30:00 AM,1.43101,7.695
314,11/08/16 05:45:00 AM,1.42979,7.670
315,11/08/16 06:00:00 AM,1.42918,7.695
316,11/08/16 06:15:00 AM,1.42979,7.670
317,11/08/16 06:30:00 AM,1.43101,7.670
318,11/08/16 06:45:00 AM,1.42735,7.670
319,11/08/16 07:00:00 AM,1.42979,7.645
320,11/08/16 07:15:00 AM,1.42979,7.645
321,11/08/16 07:30:00 AM,1.42857,7.645
322,11/08/16 07:45:00 AM,1.42918,7.670
323,11/08/16 08:00:00 AM,1.43101,7.645
324,11/08/16 08:15:00 AM,1.42918,7.645
325,11/08/16 08:30:00 AM,1.42979,7.645
326,11/08/16 08:45:00 AM,1.42857,7.645
327,11/08/16 09:00:00 AM,1.42674,7.645
328,11/08/16 09:15:00 AM,1.42979,7.645
329,11/08/16 09:30:00 AM,1.43712,7.645
330,11/08/16 09:45:00 AM,1.42857,7.670
331,11/08/16 10:00:00 AM,1.42857,7.670
332,11/08/16 10:15:00 AM,1.42918,7.670
333,11/08/16 10:30:00 AM,1.42979,7.670
334,11/08/16 10:45:00 AM,1.42979,7.670
335,11/08/16 11:00:00 AM,1.43223,7.695
336,11/08/16 11:15:00 AM,1.42857,7.720
337,11/08/16 11:30:00 AM,1.42857,7.745
338,11/08/16 11:45:00 AM,1.43040,7.745
339,11/08/16 12:00:00 PM,1.43101,7.770
340,11/08/16 12:15:00 PM,1.43101,7.795
341,11/08/16 12:30:00 PM,1.42979,7.820
342,11/08/16 12:45:00 PM,1.43040,7.845
343,11/08/16 01:00:00 PM,1.43223,7.845
344,11/08/16 01:15:00 PM,1.43101,7.870
345,11/08/16 01:30:00 PM,1.43040,7.870
346,11/08/16 01:45:00 PM,1.43040,7.895
