"Titre de tracé : P38_t"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117158, SEN S/N: 10117158)","Temp., °C (LGR S/N: 10117158, SEN S/N: 10117158)","Temp., °C (LGR S/N: 10117158, SEN S/N: 10117158)","Temp., °C (LGR S/N: 10117158, SEN S/N: 10117158)","Hôte connecté (LGR S/N: 10117158)","Arrêté (LGR S/N: 10117158)","Fin de fichier (LGR S/N: 10117158)"
1,11/04/16 11:30:00 AM,10.001,7.820,7.519,8.469,,,
2,11/04/16 11:45:00 AM,10.026,9.558,10.516,11.783,,,
3,11/04/16 12:00:00 PM,9.928,9.657,10.467,-14.353,,,
4,11/04/16 12:15:00 PM,9.632,9.558,10.418,-15.669,,,
5,11/04/16 12:30:00 PM,9.386,9.583,10.516,-17.210,,,
6,11/04/16 12:45:00 PM,9.435,9.657,10.492,-17.553,,,
7,11/04/16 01:00:00 PM,9.435,9.706,10.467,-18.164,,,
8,11/04/16 01:15:00 PM,9.435,9.756,10.467,-18.429,,,
9,11/04/16 01:30:00 PM,9.460,9.780,10.443,-18.652,,,
10,11/04/16 01:45:00 PM,9.460,9.829,10.443,-18.787,,,
11,11/04/16 02:00:00 PM,9.460,9.829,10.443,-18.967,,,
12,11/04/16 02:15:00 PM,9.460,9.829,10.443,-19.012,,,
13,11/04/16 02:30:00 PM,9.485,9.805,10.418,-19.103,,,
14,11/04/16 02:45:00 PM,9.485,9.829,10.418,-19.194,,,
15,11/04/16 03:00:00 PM,9.509,9.829,10.394,-19.285,,,
16,11/04/16 03:15:00 PM,9.509,9.854,10.394,-19.377,,,
17,11/04/16 03:30:00 PM,9.534,10.980,10.418,-19.194,,,
18,11/04/16 03:45:00 PM,9.558,11.127,10.394,-19.149,,,
19,11/04/16 04:00:00 PM,9.558,11.127,10.394,-19.194,,,
20,11/04/16 04:15:00 PM,9.583,11.127,10.394,-19.194,,,
21,11/04/16 04:30:00 PM,9.583,11.127,10.394,-19.240,,,
22,11/04/16 04:45:00 PM,9.608,11.151,10.394,-19.285,,,
23,11/04/16 05:00:00 PM,9.632,11.151,10.394,-19.285,,,
24,11/04/16 05:15:00 PM,9.632,11.151,10.394,-19.285,,,
25,11/04/16 05:30:00 PM,9.657,11.151,10.369,-19.285,,,
26,11/04/16 05:45:00 PM,9.657,11.151,10.369,-19.285,,,
27,11/04/16 06:00:00 PM,9.682,11.127,10.369,-19.285,,,
28,11/04/16 06:15:00 PM,9.682,11.127,10.369,-19.285,,,
29,11/04/16 06:30:00 PM,9.706,11.151,10.369,-19.331,,,
30,11/04/16 06:45:00 PM,9.706,11.151,10.369,-19.285,,,
31,11/04/16 07:00:00 PM,9.731,11.151,10.369,-19.285,,,
32,11/04/16 07:15:00 PM,9.731,11.151,10.369,-19.285,,,
33,11/04/16 07:30:00 PM,9.756,11.175,10.345,-19.331,,,
34,11/04/16 07:45:00 PM,9.756,11.175,10.345,-19.285,,,
35,11/04/16 08:00:00 PM,9.780,11.200,10.369,-19.377,,,
36,11/04/16 08:15:00 PM,9.780,11.200,10.369,-19.331,,,
37,11/04/16 08:30:00 PM,9.805,11.200,10.345,-19.285,,,
38,11/04/16 08:45:00 PM,9.805,11.200,10.345,-19.285,,,
39,11/04/16 09:00:00 PM,9.805,11.200,10.345,-19.331,,,
40,11/04/16 09:15:00 PM,9.829,11.200,10.345,-19.423,,,
41,11/04/16 09:30:00 PM,9.829,11.200,10.345,-19.469,,,
42,11/04/16 09:45:00 PM,9.854,11.200,10.345,-19.469,,,
43,11/04/16 10:00:00 PM,9.854,11.200,10.345,-19.423,,,
44,11/04/16 10:15:00 PM,9.854,11.200,10.345,-19.377,,,
45,11/04/16 10:30:00 PM,9.879,11.224,10.345,-19.423,,,
46,11/04/16 10:45:00 PM,9.879,11.224,10.345,-19.515,,,
47,11/04/16 11:00:00 PM,9.879,11.224,10.345,-19.561,,,
48,11/04/16 11:15:00 PM,9.879,11.224,10.345,-19.607,,,
49,11/04/16 11:30:00 PM,9.903,11.224,10.369,-19.607,,,
50,11/04/16 11:45:00 PM,9.903,11.224,10.345,-19.654,,,
51,11/05/16 12:00:00 AM,9.903,11.224,10.369,-19.654,,,
52,11/05/16 12:15:00 AM,9.928,11.224,10.369,-19.654,,,
53,11/05/16 12:30:00 AM,9.928,11.224,10.369,-19.700,,,
54,11/05/16 12:45:00 AM,9.952,11.224,10.369,-19.700,,,
55,11/05/16 01:00:00 AM,9.952,11.224,10.369,-19.700,,,
56,11/05/16 01:15:00 AM,9.952,11.248,10.369,-19.746,,,
57,11/05/16 01:30:00 AM,9.977,11.224,10.369,-19.700,,,
58,11/05/16 01:45:00 AM,9.977,11.248,10.369,-19.700,,,
59,11/05/16 02:00:00 AM,9.977,11.248,10.369,-19.746,,,
60,11/05/16 02:15:00 AM,10.001,11.248,10.369,-19.746,,,
61,11/05/16 02:30:00 AM,10.001,11.248,10.369,-19.793,,,
62,11/05/16 02:45:00 AM,10.001,11.248,10.369,-19.793,,,
63,11/05/16 03:00:00 AM,10.026,11.248,10.369,-19.793,,,
64,11/05/16 03:15:00 AM,10.026,11.273,10.369,-19.839,,,
65,11/05/16 03:30:00 AM,10.026,11.273,10.369,-19.839,,,
66,11/05/16 03:45:00 AM,10.051,11.273,10.369,-19.839,,,
67,11/05/16 04:00:00 AM,10.026,11.273,10.369,-19.839,,,
68,11/05/16 04:15:00 AM,10.051,11.273,10.369,-19.886,,,
