"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
1,05/18/17 12:00:00,2.49996,19.961,,,
2,05/18/17 12:15:00,1.52277,14.931,,,
3,05/18/17 12:30:00,1.98550,14.921,,,
4,05/18/17 12:45:00,2.49996,14.913,,,
5,05/18/17 13:00:00,2.49996,14.922,,,
6,05/18/17 13:15:00,2.49996,14.934,,,
7,05/18/17 13:30:00,2.49996,14.940,,,
8,05/18/17 13:45:00,2.49996,14.954,,,
9,05/18/17 14:00:00,2.49996,14.922,,,
10,05/18/17 14:15:00,2.49996,15.031,,,
11,05/18/17 14:30:00,2.49996,15.093,,,
12,05/18/17 14:45:00,2.49996,15.109,,,
13,05/18/17 15:00:00,2.49603,15.160,,,
14,05/18/17 15:15:00,2.47024,15.221,,,
15,05/18/17 15:30:00,2.44068,15.290,,,
16,05/18/17 15:45:00,2.41684,15.343,,,
17,05/18/17 16:00:00,2.39536,15.417,,,
18,05/18/17 16:15:00,2.37469,15.494,,,
19,05/18/17 16:30:00,2.35546,15.558,,,
20,05/18/17 16:45:00,2.32429,15.603,,,
21,05/18/17 17:00:00,2.30510,15.655,,,
22,05/18/17 17:15:00,2.28767,15.699,,,
23,05/18/17 17:30:00,2.27180,15.779,,,
24,05/18/17 17:45:00,2.25273,15.821,,,
25,05/18/17 18:00:00,2.23667,15.837,,,
26,05/18/17 18:15:00,2.21424,15.840,,,
27,05/18/17 18:30:00,2.19551,15.870,,,
28,05/18/17 18:45:00,2.17990,15.876,,,
29,05/18/17 19:00:00,2.15675,15.894,,,
30,05/18/17 19:15:00,2.26204,15.924,,,
31,05/18/17 19:30:00,2.23457,16.734,,,
32,05/18/17 19:45:00,2.14038,16.088,,,
33,05/18/17 20:00:00,2.10689,15.661,,,
34,05/18/17 20:15:00,2.07397,15.621,,,
35,05/18/17 20:30:00,2.04490,15.548,,,
36,05/18/17 20:45:00,2.01476,15.457,,,
37,05/18/17 21:00:00,1.99809,15.378,,,
38,05/18/17 21:15:00,1.97440,15.291,,,
39,05/18/17 21:30:00,1.94659,15.205,,,
40,05/18/17 21:45:00,1.92622,15.127,,,
41,05/18/17 22:00:00,1.90692,15.069,,,
42,05/18/17 22:15:00,1.88861,15.018,,,
43,05/18/17 22:30:00,1.87499,14.973,,,
44,05/18/17 22:45:00,1.85801,14.919,,,
45,05/18/17 23:00:00,1.83989,14.865,,,
46,05/18/17 23:15:00,1.82258,14.797,,,
47,05/18/17 23:30:00,1.80140,14.716,,,
48,05/18/17 23:45:00,1.77966,14.631,,,
49,05/19/17 00:00:00,1.76005,14.538,,,
50,05/19/17 00:15:00,1.74189,14.454,,,
51,05/19/17 00:30:00,1.71870,14.358,,,
52,05/19/17 00:45:00,1.69574,14.246,,,
53,05/19/17 01:00:00,1.68322,14.162,,,
54,05/19/17 01:15:00,1.66133,14.090,,,
55,05/19/17 01:30:00,1.64469,14.033,,,
56,05/19/17 01:45:00,1.62978,13.966,,,
57,05/19/17 02:00:00,1.61715,13.948,,,
58,05/19/17 02:15:00,1.60658,13.916,,,
59,05/19/17 02:30:00,1.59262,13.871,,,
60,05/19/17 02:45:00,1.57622,13.826,,,
61,05/19/17 03:00:00,1.56119,13.757,,,
62,05/19/17 03:15:00,1.54520,13.681,,,
63,05/19/17 03:30:00,1.53067,13.608,,,
64,05/19/17 03:45:00,1.51175,13.535,,,
65,05/19/17 04:00:00,1.49638,13.460,,,
66,05/19/17 04:15:00,1.48180,13.386,,,
67,05/19/17 04:30:00,1.46693,13.320,,,
68,05/19/17 04:45:00,1.45609,13.254,,,
69,05/19/17 05:00:00,1.44263,13.204,,,
70,05/19/17 05:15:00,1.43301,13.157,,,
71,05/19/17 05:30:00,1.41535,13.120,,,
72,05/19/17 05:45:00,1.40963,13.072,,,
73,05/19/17 06:00:00,1.39860,13.028,,,
74,05/19/17 06:15:00,1.38434,12.971,,,
75,05/19/17 06:30:00,1.37472,12.925,,,
76,05/19/17 06:45:00,1.36763,12.880,,,
77,05/19/17 07:00:00,1.35573,12.835,,,
78,05/19/17 07:15:00,1.34890,12.799,,,
79,05/19/17 07:30:00,1.34272,12.775,,,
80,05/19/17 07:45:00,1.33845,12.743,,,
81,05/19/17 08:00:00,1.32853,12.726,,,
82,05/19/17 08:15:00,1.32349,12.696,,,
83,05/19/17 08:30:00,1.31666,12.657,,,
84,05/19/17 08:45:00,1.31369,12.660,,,
85,05/19/17 09:00:00,1.30877,12.669,,,
86,05/19/17 09:15:00,1.30144,12.636,,,
87,05/19/17 09:30:00,1.29614,12.601,,,
88,05/19/17 09:45:00,1.29175,12.595,,,
89,05/19/17 10:00:00,1.28893,12.609,,,
90,05/19/17 10:15:00,1.29099,12.639,,,
91,05/19/17 10:30:00,1.29168,12.695,,,
92,05/19/17 10:45:00,1.29427,12.723,,,
93,05/19/17 11:00:00,1.29225,12.716,,,
94,05/19/17 11:15:00,1.28943,12.698,,,
95,05/19/17 11:30:00,1.28733,12.690,,,
96,05/19/17 11:45:00,1.28630,12.690,,,
97,05/19/17 12:00:00,1.28138,12.695,,,
98,05/19/17 12:15:00,1.28122,12.710,,,
99,05/19/17 12:30:00,1.28332,12.752,,,
