"Titre de tracé : p41_t"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Temperature)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Temperature)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Temperature)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Temperature)","Bouton Bas (LGR S/N: 10117166)","Bouton Haut (LGR S/N: 10117166)","Hôte connecté (LGR S/N: 10117166)","Arrêté (LGR S/N: 10117166)","Fin de fichier (LGR S/N: 10117166)"
1,05/18/17 12:15:00 PM,246.216,177.188,537.327,331.683,,,,,
2,05/18/17 12:30:00 PM,285.420,157.978,304.306,537.327,,,,,
3,05/18/17 12:45:00 PM,14.361,14.122,13.738,13.137,,,,,
4,05/18/17 01:00:00 PM,14.361,14.098,13.714,13.137,,,,,
5,05/18/17 01:15:00 PM,14.361,14.098,13.714,13.137,,,,,
6,05/18/17 01:30:00 PM,14.361,14.098,13.714,13.137,,,,,
7,05/18/17 01:45:00 PM,14.337,14.098,13.714,13.137,,,,,
8,05/18/17 02:00:00 PM,14.337,14.098,13.714,13.137,,,,,
9,05/18/17 02:15:00 PM,14.337,14.098,13.714,13.137,,,,,
10,05/18/17 02:30:00 PM,14.314,14.074,13.714,13.137,,,,,
11,05/18/17 02:45:00 PM,14.314,14.074,13.714,13.137,,,,,
12,05/18/17 03:00:00 PM,14.314,14.050,13.714,13.137,,,,,
13,05/18/17 03:15:00 PM,14.314,14.050,13.714,13.137,,,,,
14,05/18/17 03:30:00 PM,14.290,14.050,13.714,13.137,,,,,
15,05/18/17 03:45:00 PM,14.290,14.050,13.714,13.137,,,,,
16,05/18/17 04:00:00 PM,14.290,14.050,13.714,13.137,,,,,
17,05/18/17 04:15:00 PM,14.290,14.050,13.714,13.137,,,,,
18,05/18/17 04:30:00 PM,14.290,14.050,13.690,13.137,,,,,
19,05/18/17 04:45:00 PM,14.290,14.050,13.690,13.137,,,,,
20,05/18/17 05:00:00 PM,14.290,14.026,13.690,13.137,,,,,
21,05/18/17 05:15:00 PM,14.290,14.050,13.690,13.137,,,,,
22,05/18/17 05:30:00 PM,14.290,14.050,13.690,13.137,,,,,
23,05/18/17 05:45:00 PM,14.314,14.026,13.690,13.137,,,,,
24,05/18/17 06:00:00 PM,14.314,14.026,13.690,13.137,,,,,
25,05/18/17 06:15:00 PM,14.314,14.050,13.690,13.137,,,,,
26,05/18/17 06:30:00 PM,14.314,14.026,13.690,13.161,,,,,
27,05/18/17 06:45:00 PM,14.337,14.050,13.690,13.161,,,,,
28,05/18/17 07:00:00 PM,14.337,14.026,13.690,13.161,,,,,
29,05/18/17 07:15:00 PM,14.361,14.050,13.690,13.161,,,,,
30,05/18/17 07:30:00 PM,14.385,14.050,13.690,13.161,,,,,
31,05/18/17 07:45:00 PM,14.361,14.050,13.690,13.161,,,,,
32,05/18/17 08:00:00 PM,14.385,14.050,13.690,13.161,,,,,
33,05/18/17 08:15:00 PM,14.409,14.050,13.690,13.161,,,,,
34,05/18/17 08:30:00 PM,14.409,14.050,13.690,13.161,,,,,
