#,dates,pressure_differential_m,temperature_stream_C
1,11/07/2017 14:45:00,-0.637247619,16.582
2,11/07/2017 15:00:00,-0.658588367,16.63
3,11/07/2017 15:15:00,-0.662806682,16.677
4,11/07/2017 15:30:00,-0.660769574,16.725
5,11/07/2017 15:45:00,-0.656615967,16.749
6,11/07/2017 16:00:00,-0.653767845,16.82
7,11/07/2017 16:15:00,-0.651289456,16.844
8,11/07/2017 16:30:00,-0.648811068,16.868
9,11/07/2017 16:45:00,-0.646742938,16.892
10,11/07/2017 17:00:00,-0.645074557,16.892
11,11/07/2017 17:15:00,-0.643429352,16.915
12,11/07/2017 17:30:00,-0.642178065,16.915
13,11/07/2017 17:45:00,-0.640950964,16.939
14,11/07/2017 18:00:00,-0.639668655,16.915
15,11/07/2017 18:15:00,-0.638834464,16.915
16,11/07/2017 18:30:00,-0.638417369,16.915
17,11/07/2017 18:45:00,-0.637977097,16.892
18,11/07/2017 19:00:00,-0.637560001,16.892
19,11/07/2017 19:15:00,-0.637535817,16.868
20,11/07/2017 19:30:00,-0.637118722,16.868
21,11/07/2017 19:45:00,-0.636677442,16.844
22,11/07/2017 20:00:00,-0.636677442,16.844
23,11/07/2017 20:15:00,-0.636260346,16.844
24,11/07/2017 20:30:00,-0.636236162,16.82
25,11/07/2017 20:45:00,-0.636236162,16.82
26,11/07/2017 21:00:00,-0.635794882,16.796
27,11/07/2017 21:15:00,-0.635794882,16.796
28,11/07/2017 21:30:00,-0.635771705,16.773
29,11/07/2017 21:45:00,-0.636188801,16.773
30,11/07/2017 22:00:00,-0.636188801,16.773
31,11/07/2017 22:15:00,-0.636998807,16.749
32,11/07/2017 22:30:00,-0.636974622,16.725
33,11/07/2017 22:45:00,-0.636950438,16.701
34,11/07/2017 23:00:00,-0.637343349,16.677
35,11/07/2017 23:15:00,-0.637343349,16.677
36,11/07/2017 23:30:00,-0.637737268,16.654
37,11/07/2017 23:45:00,-0.638154363,16.654
38,12/07/2017 00:00:00,-0.636878892,16.63
39,12/07/2017 00:15:00,-0.638940185,16.606
40,12/07/2017 00:30:00,-0.64059122,16.582
41,12/07/2017 00:45:00,-0.641401226,16.558
42,12/07/2017 01:00:00,-0.641794137,16.534
43,12/07/2017 01:15:00,-0.64177096,16.511
44,12/07/2017 01:30:00,-0.642139687,16.463
