#,P2Date,H2,TP2
1,14/04/2022 14:00:00,-3.397633136,12.613
2,14/04/2022 14:15:00,-3.591715976,12.686
3,14/04/2022 14:30:00,-3.44260355,12.745
4,14/04/2022 14:45:00,-3.562130178,12.841
5,14/04/2022 15:00:00,-3.242011834,12.925
6,14/04/2022 15:15:00,-3.384023669,12.993
7,14/04/2022 15:30:00,-3.379289941,13.07
8,14/04/2022 15:45:00,-3.489940828,13.109
9,14/04/2022 16:00:00,-3.214792899,13.132
10,14/04/2022 16:15:00,-3.456213018,13.175
11,14/04/2022 16:30:00,-3.420118343,13.188
12,14/04/2022 16:45:00,-3.20591716,13.194
13,14/04/2022 17:00:00,-3.01183432,13.222
14,14/04/2022 17:15:00,-3.632544379,13.267
15,14/04/2022 17:30:00,-2.857988166,13.314
16,14/04/2022 17:45:00,-3.381656805,13.317
17,14/04/2022 18:00:00,-3.763313609,13.297
18,14/04/2022 18:15:00,-3.013609467,13.269
19,14/04/2022 18:30:00,-3.309467456,13.233
20,14/04/2022 18:45:00,-2.896449704,13.186
21,14/04/2022 19:00:00,-3.474556213,13.129
22,14/04/2022 19:15:00,-3.397633136,13.07
23,14/04/2022 19:30:00,-2.982248521,13.014
24,14/04/2022 19:45:00,-2.589349112,12.959
25,14/04/2022 20:00:00,-3.641420118,12.892
26,14/04/2022 20:15:00,-3.115384615,12.814
27,14/04/2022 20:30:00,-3.60295858,12.725
28,14/04/2022 20:45:00,-3.08816568,12.631
29,14/04/2022 21:00:00,-3.007100592,12.536
30,14/04/2022 21:15:00,-3.24852071,12.444
31,14/04/2022 21:30:00,-2.975739645,12.357
32,14/04/2022 21:45:00,-3.273372781,12.269
33,14/04/2022 22:00:00,-2.844378698,12.187
34,14/04/2022 22:15:00,-2.910059172,12.104
35,14/04/2022 22:30:00,-2.932544379,12.025
36,14/04/2022 22:45:00,-2.84260355,11.943
37,14/04/2022 23:00:00,-3.04556213,11.869
38,14/04/2022 23:15:00,-2.968639053,11.795
39,14/04/2022 23:30:00,-3.402366864,11.725
40,14/04/2022 23:45:00,-3.004733728,11.661
41,15/04/2022 00:00:00,-3.147337278,11.598
42,15/04/2022 00:15:00,-3.167455621,11.54
43,15/04/2022 00:30:00,-3.081656805,11.482
44,15/04/2022 00:45:00,-3.086390533,11.429
45,15/04/2022 01:00:00,-3.431360947,11.377
46,15/04/2022 01:15:00,-2.813017751,11.326
47,15/04/2022 01:30:00,-2.927810651,11.279
48,15/04/2022 01:45:00,-2.89408284,11.23
49,15/04/2022 02:00:00,-3.04556213,11.18
50,15/04/2022 02:15:00,-2.921301775,11.132
51,15/04/2022 02:30:00,-2.810650888,11.079
52,15/04/2022 02:45:00,-2.998224852,11.033
53,15/04/2022 03:00:00,-3.076923077,10.986
54,15/04/2022 03:15:00,-3.076923077,10.939
55,15/04/2022 03:30:00,-2.524260355,10.895
56,15/04/2022 03:45:00,-2.616568047,10.852
57,15/04/2022 04:00:00,-2.305325444,10.814
58,15/04/2022 04:15:00,-2.896449704,10.777
59,15/04/2022 04:30:00,-2.744970414,10.741
60,15/04/2022 04:45:00,-2.943786982,10.702
61,15/04/2022 05:00:00,-2.934911243,10.66
62,15/04/2022 05:15:00,-2.623076923,10.618
63,15/04/2022 05:30:00,-2.661538462,10.577
64,15/04/2022 05:45:00,-2.456213018,10.54
65,15/04/2022 06:00:00,-2.799408284,10.505
66,15/04/2022 06:15:00,-2.810650888,10.481
67,15/04/2022 06:30:00,-2.201183432,10.47
68,15/04/2022 06:45:00,-2.934911243,10.472
69,15/04/2022 07:00:00,-2.562130178,10.479
70,15/04/2022 07:15:00,-2.833136095,10.499
71,15/04/2022 07:30:00,-3.047928994,10.531
72,15/04/2022 07:45:00,-2.918934911,10.574
73,15/04/2022 08:00:00,-2.444970414,10.625
74,15/04/2022 08:15:00,-2.930177515,10.695
75,15/04/2022 08:30:00,-2.964497041,10.785
76,15/04/2022 08:45:00,-3.020710059,10.886
77,15/04/2022 09:00:00,-2.887573964,10.989
78,15/04/2022 09:15:00,-3.131360947,11.088
79,15/04/2022 09:30:00,-3.266863905,11.195
80,15/04/2022 09:45:00,-2.671005917,11.306
81,15/04/2022 10:00:00,-2.655029586,11.426
82,15/04/2022 10:15:00,-3.34556213,11.522
83,15/04/2022 10:30:00,-2.830769231,11.576
84,15/04/2022 10:45:00,-3.140236686,11.625
85,15/04/2022 11:00:00,-2.44260355,11.724
86,15/04/2022 11:15:00,-3.40887574,11.89
87,15/04/2022 11:30:00,-3.31183432,12.087
88,15/04/2022 11:45:00,-3.020710059,12.249
89,15/04/2022 12:00:00,-3.002366864,12.381
90,15/04/2022 12:15:00,-4.869230769,12.535
91,15/04/2022 12:30:00,-3.120118343,12.651
92,15/04/2022 12:45:00,-3.266863905,12.805
93,15/04/2022 13:00:00,-3.131360947,12.942
94,15/04/2022 13:15:00,-3.063313609,13.078
95,15/04/2022 13:30:00,-3.23964497,13.212
96,15/04/2022 13:45:00,-2.905325444,13.312
97,15/04/2022 14:00:00,-3.253254438,13.406
98,15/04/2022 14:15:00,-2.926035503,13.484
99,15/04/2022 14:30:00,-2.873964497,13.568
100,15/04/2022 14:45:00,-2.731952663,13.654
101,15/04/2022 15:00:00,-2.727218935,13.75
102,15/04/2022 15:15:00,-2.749704142,13.838
103,15/04/2022 15:30:00,-3.300591716,13.9
104,15/04/2022 15:45:00,-3.08816568,13.94
105,15/04/2022 16:00:00,-3.510650888,13.985
106,15/04/2022 16:15:00,-3.325443787,14.024
107,15/04/2022 16:30:00,-3.546745562,14.059
108,15/04/2022 16:45:00,-3.323076923,14.084
109,15/04/2022 17:00:00,-3.763313609,14.104
110,15/04/2022 17:15:00,-3.591715976,14.134
111,15/04/2022 17:30:00,-3.724852071,14.15
112,15/04/2022 17:45:00,-3.040828402,14.168
113,15/04/2022 18:00:00,-2.934911243,14.17
114,15/04/2022 18:15:00,-2.40887574,14.176
115,15/04/2022 18:30:00,-2.828994083,14.182
116,15/04/2022 18:45:00,-2.955029586,14.18
117,15/04/2022 19:00:00,-2.695857988,14.165
118,15/04/2022 19:15:00,-2.621301775,14.147
119,15/04/2022 19:30:00,-2.639053254,14.116
120,15/04/2022 19:45:00,-2.068047337,14.047
121,15/04/2022 20:00:00,-2.366272189,13.943
122,15/04/2022 20:15:00,-2.835502959,13.823
123,15/04/2022 20:30:00,-2.352662722,13.705
124,15/04/2022 20:45:00,-2.339053254,13.589
125,15/04/2022 21:00:00,-2.4,13.457
126,15/04/2022 21:15:00,-2.291715976,13.356
127,15/04/2022 21:30:00,-2.591715976,13.275
128,15/04/2022 21:45:00,-3.047928994,13.184
129,15/04/2022 22:00:00,-2.661538462,13.072
130,15/04/2022 22:15:00,-2.641420118,12.948
131,15/04/2022 22:30:00,-2.014201183,12.82
132,15/04/2022 22:45:00,-2.914792899,12.693
133,15/04/2022 23:00:00,-2.384023669,12.567
134,15/04/2022 23:15:00,-2.743195266,12.437
135,15/04/2022 23:30:00,-2.460946746,12.308
136,15/04/2022 23:45:00,-1.64852071,12.181
137,16/04/2022 00:00:00,-2.043195266,12.063
138,16/04/2022 00:15:00,-2.084023669,11.95
139,16/04/2022 00:30:00,-1.867455621,11.84
140,16/04/2022 00:45:00,-2.397633136,11.743
141,16/04/2022 01:00:00,-2.327810651,11.649
142,16/04/2022 01:15:00,-2.070414201,11.564
143,16/04/2022 01:30:00,-2.320710059,11.485
144,16/04/2022 01:45:00,-1.682248521,11.412
145,16/04/2022 02:00:00,-2.361538462,11.339
146,16/04/2022 02:15:00,-2.347928994,11.272
147,16/04/2022 02:30:00,-2.070414201,11.203
148,16/04/2022 02:45:00,-1.896449704,11.139
149,16/04/2022 03:00:00,-2.015976331,11.073
150,16/04/2022 03:15:00,-2.185207101,11.014
151,16/04/2022 03:30:00,-2.230769231,10.959
152,16/04/2022 03:45:00,-1.469822485,10.904
153,16/04/2022 04:00:00,-1.837869822,10.849
154,16/04/2022 04:15:00,-1.921301775,10.797
155,16/04/2022 04:30:00,-2.395266272,10.747
156,16/04/2022 04:45:00,-2.460946746,10.701
157,16/04/2022 05:00:00,-1.585207101,10.654
158,16/04/2022 05:15:00,-2.269230769,10.608
159,16/04/2022 05:30:00,-1.93964497,10.566
160,16/04/2022 05:45:00,-1.937278107,10.527
161,16/04/2022 06:00:00,-2.50591716,10.495
162,16/04/2022 06:15:00,-2.056804734,10.473
163,16/04/2022 06:30:00,-1.743195266,10.462
164,16/04/2022 06:45:00,-1.314201183,10.462
165,16/04/2022 07:00:00,-1.663905325,10.47
166,16/04/2022 07:15:00,-1.898816568,10.493
167,16/04/2022 07:30:00,-1.740828402,10.525
168,16/04/2022 07:45:00,-1.966272189,10.573
169,16/04/2022 08:00:00,-1.722485207,10.631
170,16/04/2022 08:15:00,-1.912426036,10.704
171,16/04/2022 08:30:00,-1.857988166,10.788
