T3-475;Date;T-10 (øC);T-20 (øC);T-30 (øC);T-40 (øC)
1;21/03/2022 17:45:00;8,979;8,878;8,998;9,044
2;21/03/2022 18:00:00;8,778;8,723;8,868;8,933
3;21/03/2022 18:15:00;8,722;8,678;8,82;8,894
4;21/03/2022 18:30:00;8,706;8,661;8,795;8,874
5;21/03/2022 18:45:00;8,706;8,654;8,779;8,861
6;21/03/2022 19:00:00;8,717;8,652;8,768;8,852
7;21/03/2022 19:15:00;8,731;8,654;8,761;8,846
8;21/03/2022 19:30:00;8,75;8,657;8,756;8,84
9;21/03/2022 19:45:00;8,77;8,663;8,751;8,835
10;21/03/2022 20:00:00;8,793;8,671;8,748;8,832
11;21/03/2022 20:15:00;8,818;8,678;8,747;8,829
12;21/03/2022 20:30:00;8,844;8,688;8,747;8,826
13;21/03/2022 20:45:00;8,872;8,699;8,745;8,823
14;21/03/2022 21:00:00;8,9;8,711;8,747;8,821
15;21/03/2022 21:15:00;8,928;8,723;8,747;8,818
16;21/03/2022 21:30:00;8,957;8,736;8,748;8,816
17;21/03/2022 21:45:00;8,985;8,751;8,75;8,815
18;21/03/2022 22:00:00;9,015;8,765;8,753;8,815
19;21/03/2022 22:15:00;9,044;8,781;8,756;8,813
20;21/03/2022 22:30:00;9,072;8,798;8,759;8,812
21;21/03/2022 22:45:00;9,1;8,813;8,764;8,812
22;21/03/2022 23:00:00;9,128;8,83;8,768;8,812
23;21/03/2022 23:15:00;9,154;8,849;8,773;8,812
24;21/03/2022 23:30:00;9,179;8,866;8,778;8,812
25;21/03/2022 23:45:00;9,203;8,885;8,784;8,812
26;22/03/2022 00:00:00;9,227;8,903;8,79;8,812
27;22/03/2022 00:15:00;9,248;8,92;8,796;8,813
28;22/03/2022 00:30:00;9,27;8,939;8,804;8,813
29;22/03/2022 00:45:00;9,288;8,957;8,81;8,815
30;22/03/2022 01:00:00;9,307;8,974;8,818;8,816
31;22/03/2022 01:15:00;9,324;8,991;8,826;8,818
32;22/03/2022 01:30:00;9,339;9,009;8,835;8,82
33;22/03/2022 01:45:00;9,352;9,026;8,843;8,823
34;22/03/2022 02:00:00;9,364;9,043;8,851;8,824
35;22/03/2022 02:15:00;9,375;9,058;8,86;8,827
36;22/03/2022 02:30:00;9,386;9,074;8,868;8,83
37;22/03/2022 02:45:00;9,393;9,087;8,877;8,832
38;22/03/2022 03:00:00;9,399;9,101;8,886;8,835
39;22/03/2022 03:15:00;9,406;9,115;8,894;8,838
40;22/03/2022 03:30:00;9,409;9,128;8,903;8,843
41;22/03/2022 03:45:00;9,412;9,14;8,913;8,846
42;22/03/2022 04:00:00;9,413;9,151;8,92;8,849
43;22/03/2022 04:15:00;9,415;9,162;8,93;8,854
44;22/03/2022 04:30:00;9,413;9,171;8,937;8,857
45;22/03/2022 04:45:00;9,412;9,18;8,947;8,861
46;22/03/2022 05:00:00;9,41;9,188;8,954;8,864
47;22/03/2022 05:15:00;9,407;9,196;8,962;8,869
