#,dates,pressure_differential_m,temperature_stream_C
1,05/04/2017 18:00:00,-0.036598418,12.876
2,05/04/2017 18:15:00,-0.039196669,12.855
3,05/04/2017 18:30:00,-0.043402707,12.815
4,05/04/2017 18:45:00,-0.046900473,12.757
5,05/04/2017 19:00:00,-0.048008012,12.704
6,05/04/2017 19:15:00,-0.048642923,12.644
7,05/04/2017 19:30:00,-0.049413534,12.6
8,05/04/2017 19:45:00,-0.049080598,12.544
9,05/04/2017 20:00:00,-0.049161017,12.474
10,05/04/2017 20:15:00,-0.049490143,12.37
11,05/04/2017 20:30:00,-0.048483249,12.248
12,05/04/2017 20:45:00,-0.048506181,12.137
13,05/04/2017 21:00:00,-0.048655287,12.019
14,05/04/2017 21:15:00,-0.048304649,11.91
15,05/04/2017 21:30:00,-0.048860795,11.792
16,05/04/2017 21:45:00,-0.048570744,11.669
17,05/04/2017 22:00:00,-0.049427643,11.546
18,05/04/2017 22:15:00,-0.049513887,11.431
19,05/04/2017 22:30:00,-0.049583404,11.321
20,05/04/2017 22:45:00,-0.0493101,11.209
21,05/04/2017 23:00:00,-0.048753209,11.084
22,05/04/2017 23:15:00,-0.049254647,10.979
23,05/04/2017 23:30:00,-0.049330503,10.875
24,05/04/2017 23:45:00,-0.049719783,10.774
25,06/04/2017 00:00:00,-0.048879789,10.663
26,06/04/2017 00:15:00,-0.048821308,10.548
27,06/04/2017 00:30:00,-0.048834298,10.443
28,06/04/2017 00:45:00,-0.049233526,10.34
29,06/04/2017 01:00:00,-0.049110845,10.243
30,06/04/2017 01:15:00,-0.049210228,10.147
31,06/04/2017 01:30:00,-0.049412292,10.064
32,06/04/2017 01:45:00,-0.049974811,9.98
33,06/04/2017 02:00:00,-0.049204483,9.883
34,06/04/2017 02:15:00,-0.049261807,9.788
35,06/04/2017 02:30:00,-0.049248126,9.694
36,06/04/2017 02:45:00,-0.049559626,9.601
37,06/04/2017 03:00:00,-0.050046165,9.517
38,06/04/2017 03:15:00,-0.049605111,9.44
39,06/04/2017 03:30:00,-0.04970949,9.361
40,06/04/2017 03:45:00,-0.049982122,9.29
41,06/04/2017 04:00:00,-0.050238031,9.228
42,06/04/2017 04:15:00,-0.045929197,9.159
43,06/04/2017 04:30:00,-0.046310377,9.092
44,06/04/2017 04:45:00,-0.046192265,9.033
