"dateHour.p1";"horoDate.p1";"molo1U";"molo1UT"
"1";"05/02/19 12:00:00 PM";2019-05-02 12:00:00;1.19841;12.437
"2";"05/02/19 12:15:00 PM";2019-05-02 12:15:00;1.19475;12.509
"3";"05/02/19 12:30:00 PM";2019-05-02 12:30:00;1.19475;12.751
"4";"05/02/19 12:45:00 PM";2019-05-02 12:45:00;1.19536;12.92
"5";"05/02/19 01:00:00 PM";2019-05-02 13:00:00;1.19475;12.992
"6";"05/02/19 01:15:00 PM";2019-05-02 13:15:00;1.19475;13.04
"7";"05/02/19 01:30:00 PM";2019-05-02 13:30:00;1.19475;13.04
"8";"05/02/19 01:45:00 PM";2019-05-02 13:45:00;1.19536;13.305
"9";"05/02/19 02:00:00 PM";2019-05-02 14:00:00;1.19597;13.762
"10";"05/02/19 02:15:00 PM";2019-05-02 14:15:00;1.19719;13.666
"11";"05/02/19 02:30:00 PM";2019-05-02 14:30:00;1.19597;13.906
"12";"05/02/19 02:45:00 PM";2019-05-02 14:45:00;1.19658;13.594
"13";"05/02/19 03:00:00 PM";2019-05-02 15:00:00;1.19658;13.858
"14";"05/02/19 03:15:00 PM";2019-05-02 15:15:00;1.19719;13.954
"15";"05/02/19 03:30:00 PM";2019-05-02 15:30:00;1.19658;13.858
"16";"05/02/19 03:45:00 PM";2019-05-02 15:45:00;1.19719;13.906
"17";"05/02/19 04:00:00 PM";2019-05-02 16:00:00;1.19902;13.882
"18";"05/02/19 04:15:00 PM";2019-05-02 16:15:00;1.19841;13.834
"19";"05/02/19 04:30:00 PM";2019-05-02 16:30:00;1.1978;13.834
"20";"05/02/19 04:45:00 PM";2019-05-02 16:45:00;1.1978;13.714
"21";"05/02/19 05:00:00 PM";2019-05-02 17:00:00;1.19841;13.594
"22";"05/02/19 05:15:00 PM";2019-05-02 17:15:00;1.1978;13.57
"23";"05/02/19 05:30:00 PM";2019-05-02 17:30:00;1.19719;13.594
"24";"05/02/19 05:45:00 PM";2019-05-02 17:45:00;1.19658;13.522
"25";"05/02/19 06:00:00 PM";2019-05-02 18:00:00;1.19597;13.449
"26";"05/02/19 06:15:00 PM";2019-05-02 18:15:00;1.19475;13.353
"27";"05/02/19 06:30:00 PM";2019-05-02 18:30:00;1.19353;13.281
"28";"05/02/19 06:45:00 PM";2019-05-02 18:45:00;1.19231;13.209
"29";"05/02/19 07:00:00 PM";2019-05-02 19:00:00;1.1917;13.161
"30";"05/02/19 07:15:00 PM";2019-05-02 19:15:00;1.1917;13.112
"31";"05/02/19 07:30:00 PM";2019-05-02 19:30:00;1.19048;13.04
"32";"05/02/19 07:45:00 PM";2019-05-02 19:45:00;1.18926;12.992
"33";"05/02/19 08:00:00 PM";2019-05-02 20:00:00;1.18864;12.944
"34";"05/02/19 08:15:00 PM";2019-05-02 20:15:00;1.18742;12.896
"35";"05/02/19 08:30:00 PM";2019-05-02 20:30:00;1.18742;12.847
"36";"05/02/19 08:45:00 PM";2019-05-02 20:45:00;1.1862;12.823
"37";"05/02/19 09:00:00 PM";2019-05-02 21:00:00;1.18559;12.775
"38";"05/02/19 09:15:00 PM";2019-05-02 21:15:00;1.1862;12.727
"39";"05/02/19 09:30:00 PM";2019-05-02 21:30:00;1.1862;12.703
"40";"05/02/19 09:45:00 PM";2019-05-02 21:45:00;1.18559;12.678
"41";"05/02/19 10:00:00 PM";2019-05-02 22:00:00;1.18559;12.63
"42";"05/02/19 10:15:00 PM";2019-05-02 22:15:00;1.18498;12.606
"43";"05/02/19 10:30:00 PM";2019-05-02 22:30:00;1.18498;12.558
"44";"05/02/19 10:45:00 PM";2019-05-02 22:45:00;1.18559;12.509
"45";"05/02/19 11:00:00 PM";2019-05-02 23:00:00;1.18498;12.485
"46";"05/02/19 11:15:00 PM";2019-05-02 23:15:00;1.18498;12.437
"47";"05/02/19 11:30:00 PM";2019-05-02 23:30:00;1.18498;12.413
"48";"05/02/19 11:45:00 PM";2019-05-02 23:45:00;1.18559;12.364
"49";"05/03/19 12:00:00 AM";2019-05-03 00:00:00;1.18559;12.316
"50";"05/03/19 12:15:00 AM";2019-05-03 00:15:00;1.18559;12.292
"51";"05/03/19 12:30:00 AM";2019-05-03 00:30:00;1.18559;12.243
"52";"05/03/19 12:45:00 AM";2019-05-03 00:45:00;1.18559;12.219
"53";"05/03/19 01:00:00 AM";2019-05-03 01:00:00;1.18498;12.171
"54";"05/03/19 01:15:00 AM";2019-05-03 01:15:00;1.18498;12.122
"55";"05/03/19 01:30:00 AM";2019-05-03 01:30:00;1.18559;12.098
"56";"05/03/19 01:45:00 AM";2019-05-03 01:45:00;1.18559;12.074
"57";"05/03/19 02:00:00 AM";2019-05-03 02:00:00;1.18498;12.05
"58";"05/03/19 02:15:00 AM";2019-05-03 02:15:00;1.18498;12.025
"59";"05/03/19 02:30:00 AM";2019-05-03 02:30:00;1.18559;11.977
"60";"05/03/19 02:45:00 AM";2019-05-03 02:45:00;1.18498;11.953
"61";"05/03/19 03:00:00 AM";2019-05-03 03:00:00;1.18498;11.904
"62";"05/03/19 03:15:00 AM";2019-05-03 03:15:00;1.18498;11.88
"63";"05/03/19 03:30:00 AM";2019-05-03 03:30:00;1.18498;11.856
"64";"05/03/19 03:45:00 AM";2019-05-03 03:45:00;1.18498;11.832
"65";"05/03/19 04:00:00 AM";2019-05-03 04:00:00;1.18498;11.807
"66";"05/03/19 04:15:00 AM";2019-05-03 04:15:00;1.18498;11.783
"67";"05/03/19 04:30:00 AM";2019-05-03 04:30:00;1.18498;11.734
"68";"05/03/19 04:45:00 AM";2019-05-03 04:45:00;1.18498;11.71
"69";"05/03/19 05:00:00 AM";2019-05-03 05:00:00;1.18498;11.662
"70";"05/03/19 05:15:00 AM";2019-05-03 05:15:00;1.18437;11.613
"71";"05/03/19 05:30:00 AM";2019-05-03 05:30:00;1.18376;11.589
"72";"05/03/19 05:45:00 AM";2019-05-03 05:45:00;1.18376;11.565
"73";"05/03/19 06:00:00 AM";2019-05-03 06:00:00;1.18376;11.54
"74";"05/03/19 06:15:00 AM";2019-05-03 06:15:00;1.18376;11.54
"75";"05/03/19 06:30:00 AM";2019-05-03 06:30:00;1.18376;11.492
"76";"05/03/19 06:45:00 AM";2019-05-03 06:45:00;1.18376;11.492
"77";"05/03/19 07:00:00 AM";2019-05-03 07:00:00;1.18315;11.467
"78";"05/03/19 07:15:00 AM";2019-05-03 07:15:00;1.18315;11.443
"79";"05/03/19 07:30:00 AM";2019-05-03 07:30:00;1.18315;11.443
"80";"05/03/19 07:45:00 AM";2019-05-03 07:45:00;1.18315;11.419
"81";"05/03/19 08:00:00 AM";2019-05-03 08:00:00;1.18315;11.37
"82";"05/03/19 08:15:00 AM";2019-05-03 08:15:00;1.18315;11.346
"83";"05/03/19 08:30:00 AM";2019-05-03 08:30:00;1.18254;11.419
"84";"05/03/19 08:45:00 AM";2019-05-03 08:45:00;1.18315;11.394
"85";"05/03/19 09:00:00 AM";2019-05-03 09:00:00;1.18254;11.467
"86";"05/03/19 09:15:00 AM";2019-05-03 09:15:00;1.18315;11.467
"87";"05/03/19 09:30:00 AM";2019-05-03 09:30:00;1.18315;11.516
"88";"05/03/19 09:45:00 AM";2019-05-03 09:45:00;1.18315;11.637
"89";"05/03/19 10:00:00 AM";2019-05-03 10:00:00;1.18376;11.589
"90";"05/03/19 10:15:00 AM";2019-05-03 10:15:00;1.18376;11.807
"91";"05/03/19 10:30:00 AM";2019-05-03 10:30:00;1.18437;11.856
"92";"05/03/19 10:45:00 AM";2019-05-03 10:45:00;1.18437;11.662
"93";"05/03/19 11:00:00 AM";2019-05-03 11:00:00;1.18498;11.662
"94";"05/03/19 11:15:00 AM";2019-05-03 11:15:00;1.18498;11.637
"95";"05/03/19 11:30:00 AM";2019-05-03 11:30:00;1.1862;12.316
"96";"05/03/19 11:45:00 AM";2019-05-03 11:45:00;1.18559;12.316
"97";"05/03/19 12:00:00 PM";2019-05-03 12:00:00;1.18742;12.122
"98";"05/03/19 12:15:00 PM";2019-05-03 12:15:00;1.18742;12.098
"99";"05/03/19 12:30:00 PM";2019-05-03 12:30:00;1.18803;11.904
"100";"05/03/19 12:45:00 PM";2019-05-03 12:45:00;1.18742;11.929
"101";"05/03/19 01:00:00 PM";2019-05-03 13:00:00;1.18864;12.751
"102";"05/03/19 01:15:00 PM";2019-05-03 13:15:00;1.18864;12.316
"103";"05/03/19 01:30:00 PM";2019-05-03 13:30:00;1.18926;12.001
"104";"05/03/19 01:45:00 PM";2019-05-03 13:45:00;1.18926;12.001
"105";"05/03/19 02:00:00 PM";2019-05-03 14:00:00;1.18926;12.074
"106";"05/03/19 02:15:00 PM";2019-05-03 14:15:00;1.18926;12.195
"107";"05/03/19 02:30:00 PM";2019-05-03 14:30:00;1.18926;12.098
"108";"05/03/19 02:45:00 PM";2019-05-03 14:45:00;1.18987;11.977
"109";"05/03/19 03:00:00 PM";2019-05-03 15:00:00;1.18926;11.977
"110";"05/03/19 03:15:00 PM";2019-05-03 15:15:00;1.18926;12.001
"111";"05/03/19 03:30:00 PM";2019-05-03 15:30:00;1.18864;12.05
"112";"05/03/19 03:45:00 PM";2019-05-03 15:45:00;1.18864;12.292
"113";"05/03/19 04:00:00 PM";2019-05-03 16:00:00;1.18926;12.316
"114";"05/03/19 04:15:00 PM";2019-05-03 16:15:00;1.19048;12.292
"115";"05/03/19 04:30:00 PM";2019-05-03 16:30:00;1.19109;12.219
"116";"05/03/19 04:45:00 PM";2019-05-03 16:45:00;1.19048;12.171
"117";"05/03/19 05:00:00 PM";2019-05-03 17:00:00;1.19048;12.292
"118";"05/03/19 05:15:00 PM";2019-05-03 17:15:00;1.19048;12.292
"119";"05/03/19 05:30:00 PM";2019-05-03 17:30:00;1.19048;12.364
"120";"05/03/19 05:45:00 PM";2019-05-03 17:45:00;1.19048;12.461
"121";"05/03/19 06:00:00 PM";2019-05-03 18:00:00;1.19048;12.413
"122";"05/03/19 06:15:00 PM";2019-05-03 18:15:00;1.19048;12.364
"123";"05/03/19 06:30:00 PM";2019-05-03 18:30:00;1.19048;12.34
"124";"05/03/19 06:45:00 PM";2019-05-03 18:45:00;1.19048;12.34
"125";"05/03/19 07:00:00 PM";2019-05-03 19:00:00;1.19048;12.34
"126";"05/03/19 07:15:00 PM";2019-05-03 19:15:00;1.18987;12.292
"127";"05/03/19 07:30:00 PM";2019-05-03 19:30:00;1.18987;12.292
"128";"05/03/19 07:45:00 PM";2019-05-03 19:45:00;1.19048;12.268
"129";"05/03/19 08:00:00 PM";2019-05-03 20:00:00;1.18987;12.195
"130";"05/03/19 08:15:00 PM";2019-05-03 20:15:00;1.18987;12.074
"131";"05/03/19 08:30:00 PM";2019-05-03 20:30:00;1.18987;11.953
"132";"05/03/19 08:45:00 PM";2019-05-03 20:45:00;1.18926;11.856
"133";"05/03/19 09:00:00 PM";2019-05-03 21:00:00;1.18926;11.783
"134";"05/03/19 09:15:00 PM";2019-05-03 21:15:00;1.18926;11.759
"135";"05/03/19 09:30:00 PM";2019-05-03 21:30:00;1.18864;11.71
"136";"05/03/19 09:45:00 PM";2019-05-03 21:45:00;1.18864;11.686
"137";"05/03/19 10:00:00 PM";2019-05-03 22:00:00;1.18742;11.637
"138";"05/03/19 10:15:00 PM";2019-05-03 22:15:00;1.18803;11.613
"139";"05/03/19 10:30:00 PM";2019-05-03 22:30:00;1.18742;11.565
"140";"05/03/19 10:45:00 PM";2019-05-03 22:45:00;1.18803;11.54
"141";"05/03/19 11:00:00 PM";2019-05-03 23:00:00;1.18742;11.492
"142";"05/03/19 11:15:00 PM";2019-05-03 23:15:00;1.18742;11.443
"143";"05/03/19 11:30:00 PM";2019-05-03 23:30:00;1.18681;11.419
"144";"05/03/19 11:45:00 PM";2019-05-03 23:45:00;1.18742;11.419
"145";"05/04/19 12:00:00 AM";2019-05-04 00:00:00;1.18681;11.394
"146";"05/04/19 12:15:00 AM";2019-05-04 00:15:00;1.18742;11.37
"147";"05/04/19 12:30:00 AM";2019-05-04 00:30:00;1.18681;11.321
"148";"05/04/19 12:45:00 AM";2019-05-04 00:45:00;1.18681;11.321
"149";"05/04/19 01:00:00 AM";2019-05-04 01:00:00;1.18742;11.297
