#,dates,pressure_differential_V,temperature_stream_C
1,10/08/2021 13:30:00,1.33833,17.107
2,10/08/2021 13:45:00,1.33551,17.146
3,10/08/2021 14:00:00,1.33787,17.21
4,10/08/2021 14:15:00,1.33154,17.263
5,10/08/2021 14:30:00,1.33494,17.329
6,10/08/2021 14:45:00,1.33452,17.358
7,10/08/2021 15:00:00,1.33104,17.448
8,10/08/2021 15:15:00,1.33524,17.543
9,10/08/2021 15:30:00,1.33291,17.607
10,10/08/2021 15:45:00,1.33341,17.669
11,10/08/2021 16:00:00,1.33452,17.715
12,10/08/2021 16:15:00,1.33467,17.767
13,10/08/2021 16:30:00,1.3304,17.799
14,10/08/2021 16:45:00,1.332,17.833
15,10/08/2021 17:00:00,1.33639,17.846
16,10/08/2021 17:15:00,1.33429,17.879
17,10/08/2021 17:30:00,1.33387,17.891
18,10/08/2021 17:45:00,1.3315,17.889
19,10/08/2021 18:00:00,1.33341,17.871
20,10/08/2021 18:15:00,1.33261,17.861
21,10/08/2021 18:30:00,1.33036,17.867
22,10/08/2021 18:45:00,1.33394,17.861
23,10/08/2021 19:00:00,1.33429,17.831
24,10/08/2021 19:15:00,1.33177,17.8
25,10/08/2021 19:30:00,1.3341,17.767
26,10/08/2021 19:45:00,1.3304,17.73
27,10/08/2021 20:00:00,1.33314,17.694
28,10/08/2021 20:15:00,1.33379,17.659
29,10/08/2021 20:30:00,1.33791,17.626
30,10/08/2021 20:45:00,1.33745,17.598
31,10/08/2021 21:00:00,1.33047,17.567
32,10/08/2021 21:15:00,1.33261,17.532
33,10/08/2021 21:30:00,1.33028,17.497
34,10/08/2021 21:45:00,1.33185,17.461
35,10/08/2021 22:00:00,1.33738,17.422
36,10/08/2021 22:15:00,1.33345,17.385
37,10/08/2021 22:30:00,1.33215,17.348
38,10/08/2021 22:45:00,1.33425,17.312
39,10/08/2021 23:00:00,1.33364,17.28
40,10/08/2021 23:15:00,1.33097,17.24
41,10/08/2021 23:30:00,1.34009,17.202
42,10/08/2021 23:45:00,1.33005,17.171
43,11/08/2021 00:00:00,1.3307,17.14
44,11/08/2021 00:15:00,1.33009,17.112
45,11/08/2021 00:30:00,1.33494,17.082
46,11/08/2021 00:45:00,1.32956,17.054
47,11/08/2021 01:00:00,1.33116,17.028
48,11/08/2021 01:15:00,1.33085,16.999
49,11/08/2021 01:30:00,1.33181,16.976
50,11/08/2021 01:45:00,1.33234,16.954
51,11/08/2021 02:00:00,1.32776,16.929
52,11/08/2021 02:15:00,1.33597,16.902
53,11/08/2021 02:30:00,1.33494,16.875
54,11/08/2021 02:45:00,1.33238,16.848
55,11/08/2021 03:00:00,1.33227,16.825
56,11/08/2021 03:15:00,1.33268,16.802
57,11/08/2021 03:30:00,1.33433,16.775
58,11/08/2021 03:45:00,1.32891,16.743
59,11/08/2021 04:00:00,1.32856,16.708
60,11/08/2021 04:15:00,1.32975,16.673
61,11/08/2021 04:30:00,1.33124,16.636
62,11/08/2021 04:45:00,1.33085,16.595
63,11/08/2021 05:00:00,1.33158,16.554
64,11/08/2021 05:15:00,1.33017,16.512
65,11/08/2021 05:30:00,1.32994,16.472
66,11/08/2021 05:45:00,1.32998,16.432
67,11/08/2021 06:00:00,1.3286,16.39
68,11/08/2021 06:15:00,1.33604,16.351
69,11/08/2021 06:30:00,1.33101,16.314
70,11/08/2021 06:45:00,1.32818,16.283
71,11/08/2021 07:00:00,1.3328,16.228
72,11/08/2021 07:15:00,1.33204,16.187
73,11/08/2021 07:30:00,1.33181,16.15
74,11/08/2021 07:45:00,1.33257,16.113
75,11/08/2021 08:00:00,1.33497,16.082
76,11/08/2021 08:15:00,1.33722,16.053
77,11/08/2021 08:30:00,1.33421,16.029
78,11/08/2021 08:45:00,1.33757,16.016
79,11/08/2021 09:00:00,1.33619,16.009
80,11/08/2021 09:15:00,1.33967,16.015
81,11/08/2021 09:30:00,1.33734,16.018
82,11/08/2021 09:45:00,1.33623,16.034
83,11/08/2021 10:00:00,1.34249,16.068
84,11/08/2021 10:15:00,1.33734,16.116
85,11/08/2021 10:30:00,1.33829,16.168
