"dateHour.t1";"horoDate.t1";"molo1temp1";"molo1temp2";"molo1temp3";"molo1temp4"
"1";"05/02/19 12:00:00 PM";2019-05-02 12:00:00;11.763;11.218;10.618;10.167
"2";"05/02/19 12:15:00 PM";2019-05-02 12:15:00;11.709;11.12;10.521;10.086
"3";"05/02/19 12:30:00 PM";2019-05-02 12:30:00;11.695;11.081;10.475;10.041
"4";"05/02/19 12:45:00 PM";2019-05-02 12:45:00;11.698;11.062;10.449;10.013
"5";"05/02/19 01:00:00 PM";2019-05-02 13:00:00;11.721;11.055;10.432;9.995
"6";"05/02/19 01:15:00 PM";2019-05-02 13:15:00;11.756;11.052;10.42;9.981
"7";"05/02/19 01:30:00 PM";2019-05-02 13:30:00;11.801;11.053;10.412;9.972
"8";"05/02/19 01:45:00 PM";2019-05-02 13:45:00;11.847;11.056;10.406;9.966
"9";"05/02/19 02:00:00 PM";2019-05-02 14:00:00;11.897;11.062;10.401;9.96
"10";"05/02/19 02:15:00 PM";2019-05-02 14:15:00;11.971;11.07;10.397;9.955
"11";"05/02/19 02:30:00 PM";2019-05-02 14:30:00;12.05;11.079;10.394;9.952
"12";"05/02/19 02:45:00 PM";2019-05-02 14:45:00;12.136;11.09;10.392;9.95
"13";"05/02/19 03:00:00 PM";2019-05-02 15:00:00;12.205;11.104;10.391;9.947
"14";"05/02/19 03:15:00 PM";2019-05-02 15:15:00;12.263;11.117;10.389;9.946
"15";"05/02/19 03:30:00 PM";2019-05-02 15:30:00;12.322;11.134;10.389;9.944
"16";"05/02/19 03:45:00 PM";2019-05-02 15:45:00;12.372;11.152;10.389;9.944
"17";"05/02/19 04:00:00 PM";2019-05-02 16:00:00;12.422;11.171;10.389;9.943
"18";"05/02/19 04:15:00 PM";2019-05-02 16:15:00;12.473;11.19;10.389;9.943
"19";"05/02/19 04:30:00 PM";2019-05-02 16:30:00;12.515;11.21;10.391;9.943
"20";"05/02/19 04:45:00 PM";2019-05-02 16:45:00;12.548;11.231;10.391;9.943
"21";"05/02/19 05:00:00 PM";2019-05-02 17:00:00;12.57;11.253;10.392;9.943
"22";"05/02/19 05:15:00 PM";2019-05-02 17:15:00;12.577;11.274;10.394;9.943
"23";"05/02/19 05:30:00 PM";2019-05-02 17:30:00;12.582;11.295;10.397;9.941
"24";"05/02/19 05:45:00 PM";2019-05-02 17:45:00;12.589;11.315;10.398;9.943
"25";"05/02/19 06:00:00 PM";2019-05-02 18:00:00;12.594;11.335;10.401;9.943
"26";"05/02/19 06:15:00 PM";2019-05-02 18:15:00;12.594;11.355;10.403;9.943
"27";"05/02/19 06:30:00 PM";2019-05-02 18:30:00;12.589;11.371;10.406;9.943
"28";"05/02/19 06:45:00 PM";2019-05-02 18:45:00;12.579;11.39;10.409;9.943
"29";"05/02/19 07:00:00 PM";2019-05-02 19:00:00;12.567;11.405;10.412;9.944
"30";"05/02/19 07:15:00 PM";2019-05-02 19:15:00;12.554;11.42;10.417;9.944
"31";"05/02/19 07:30:00 PM";2019-05-02 19:30:00;12.539;11.435;10.42;9.944
"32";"05/02/19 07:45:00 PM";2019-05-02 19:45:00;12.524;11.449;10.424;9.946
"33";"05/02/19 08:00:00 PM";2019-05-02 20:00:00;12.505;11.461;10.427;9.946
"34";"05/02/19 08:15:00 PM";2019-05-02 20:15:00;12.485;11.472;10.432;9.946
"35";"05/02/19 08:30:00 PM";2019-05-02 20:30:00;12.464;11.482;10.436;9.947
"36";"05/02/19 08:45:00 PM";2019-05-02 20:45:00;12.443;11.491;10.441;9.947
"37";"05/02/19 09:00:00 PM";2019-05-02 21:00:00;12.423;11.499;10.446;9.949
"38";"05/02/19 09:15:00 PM";2019-05-02 21:15:00;12.403;11.507;10.45;9.95
"39";"05/02/19 09:30:00 PM";2019-05-02 21:30:00;12.384;11.513;10.455;9.95
"40";"05/02/19 09:45:00 PM";2019-05-02 21:45:00;12.364;11.519;10.459;9.952
"41";"05/02/19 10:00:00 PM";2019-05-02 22:00:00;12.346;11.523;10.464;9.954
"42";"05/02/19 10:15:00 PM";2019-05-02 22:15:00;12.328;11.528;10.47;9.955
"43";"05/02/19 10:30:00 PM";2019-05-02 22:30:00;12.31;11.532;10.475;9.955
"44";"05/02/19 10:45:00 PM";2019-05-02 22:45:00;12.292;11.535;10.479;9.957
"45";"05/02/19 11:00:00 PM";2019-05-02 23:00:00;12.272;11.537;10.484;9.958
"46";"05/02/19 11:15:00 PM";2019-05-02 23:15:00;12.252;11.54;10.49;9.96
"47";"05/02/19 11:30:00 PM";2019-05-02 23:30:00;12.231;11.542;10.495;9.961
"48";"05/02/19 11:45:00 PM";2019-05-02 23:45:00;12.21;11.542;10.499;9.963
"49";"05/03/19 12:00:00 AM";2019-05-03 00:00:00;12.189;11.543;10.504;9.964
"50";"05/03/19 12:15:00 AM";2019-05-03 00:15:00;12.166;11.543;10.508;9.966
"51";"05/03/19 12:30:00 AM";2019-05-03 00:30:00;12.145;11.542;10.513;9.969
"52";"05/03/19 12:45:00 AM";2019-05-03 00:45:00;12.122;11.542;10.518;9.97
"53";"05/03/19 01:00:00 AM";2019-05-03 01:00:00;12.101;11.54;10.522;9.972
"54";"05/03/19 01:15:00 AM";2019-05-03 01:15:00;12.078;11.538;10.527;9.974
"55";"05/03/19 01:30:00 AM";2019-05-03 01:30:00;12.054;11.535;10.531;9.975
"56";"05/03/19 01:45:00 AM";2019-05-03 01:45:00;12.031;11.534;10.536;9.978
"57";"05/03/19 02:00:00 AM";2019-05-03 02:00:00;12.009;11.531;10.539;9.98
"58";"05/03/19 02:15:00 AM";2019-05-03 02:15:00;11.987;11.526;10.544;9.981
"59";"05/03/19 02:30:00 AM";2019-05-03 02:30:00;11.966;11.523;10.548;9.984
"60";"05/03/19 02:45:00 AM";2019-05-03 02:45:00;11.945;11.519;10.551;9.986
"61";"05/03/19 03:00:00 AM";2019-05-03 03:00:00;11.924;11.514;10.556;9.989
"62";"05/03/19 03:15:00 AM";2019-05-03 03:15:00;11.901;11.51;10.559;9.99
"63";"05/03/19 03:30:00 AM";2019-05-03 03:30:00;11.88;11.505;10.562;9.992
"64";"05/03/19 03:45:00 AM";2019-05-03 03:45:00;11.859;11.501;10.565;9.995
"65";"05/03/19 04:00:00 AM";2019-05-03 04:00:00;11.839;11.494;10.568;9.997
"66";"05/03/19 04:15:00 AM";2019-05-03 04:15:00;11.818;11.488;10.571;10
"67";"05/03/19 04:30:00 AM";2019-05-03 04:30:00;11.796;11.482;10.574;10.001
"68";"05/03/19 04:45:00 AM";2019-05-03 04:45:00;11.777;11.476;10.577;10.004
"69";"05/03/19 05:00:00 AM";2019-05-03 05:00:00;11.756;11.47;10.58;10.006
"70";"05/03/19 05:15:00 AM";2019-05-03 05:15:00;11.734;11.464;10.583;10.007
"71";"05/03/19 05:30:00 AM";2019-05-03 05:30:00;11.712;11.456;10.585;10.01
"72";"05/03/19 05:45:00 AM";2019-05-03 05:45:00;11.689;11.45;10.588;10.012
"73";"05/03/19 06:00:00 AM";2019-05-03 06:00:00;11.665;11.443;10.589;10.015
"74";"05/03/19 06:15:00 AM";2019-05-03 06:15:00;11.643;11.435;10.591;10.017
"75";"05/03/19 06:30:00 AM";2019-05-03 06:30:00;11.622;11.428;10.594;10.02
"76";"05/03/19 06:45:00 AM";2019-05-03 06:45:00;11.602;11.42;10.595;10.021
"77";"05/03/19 07:00:00 AM";2019-05-03 07:00:00;11.583;11.412;10.597;10.023
"78";"05/03/19 07:15:00 AM";2019-05-03 07:15:00;11.564;11.403;10.599;10.026
"79";"05/03/19 07:30:00 AM";2019-05-03 07:30:00;11.546;11.396;10.6;10.027
"80";"05/03/19 07:45:00 AM";2019-05-03 07:45:00;11.528;11.388;10.602;10.03
"81";"05/03/19 08:00:00 AM";2019-05-03 08:00:00;11.511;11.379;10.603;10.032
"82";"05/03/19 08:15:00 AM";2019-05-03 08:15:00;11.493;11.37;10.603;10.033
"83";"05/03/19 08:30:00 AM";2019-05-03 08:30:00;11.475;11.362;10.605;10.036
"84";"05/03/19 08:45:00 AM";2019-05-03 08:45:00;11.461;11.353;10.606;10.038
"85";"05/03/19 09:00:00 AM";2019-05-03 09:00:00;11.449;11.344;10.606;10.04
"86";"05/03/19 09:15:00 AM";2019-05-03 09:15:00;11.443;11.336;10.606;10.041
"87";"05/03/19 09:30:00 AM";2019-05-03 09:30:00;11.438;11.327;10.608;10.044
"88";"05/03/19 09:45:00 AM";2019-05-03 09:45:00;11.438;11.32;10.608;10.046
"89";"05/03/19 10:00:00 AM";2019-05-03 10:00:00;11.443;11.311;10.608;10.047
"90";"05/03/19 10:15:00 AM";2019-05-03 10:15:00;11.447;11.303;10.608;10.049
"91";"05/03/19 10:30:00 AM";2019-05-03 10:30:00;11.456;11.295;10.608;10.052
"92";"05/03/19 10:45:00 AM";2019-05-03 10:45:00;11.479;11.289;10.609;10.053
"93";"05/03/19 11:00:00 AM";2019-05-03 11:00:00;11.487;11.283;10.609;10.055
"94";"05/03/19 11:15:00 AM";2019-05-03 11:15:00;11.487;11.277;10.608;10.056
"95";"05/03/19 11:30:00 AM";2019-05-03 11:30:00;11.485;11.272;10.608;10.058
"96";"05/03/19 11:45:00 AM";2019-05-03 11:45:00;11.514;11.268;10.608;10.059
"97";"05/03/19 12:00:00 PM";2019-05-03 12:00:00;11.564;11.263;10.608;10.061
"98";"05/03/19 12:15:00 PM";2019-05-03 12:15:00;11.599;11.26;10.608;10.063
"99";"05/03/19 12:30:00 PM";2019-05-03 12:30:00;11.62;11.259;10.608;10.064
"100";"05/03/19 12:45:00 PM";2019-05-03 12:45:00;11.624;11.257;10.606;10.066
"101";"05/03/19 01:00:00 PM";2019-05-03 13:00:00;11.625;11.257;10.606;10.067
"102";"05/03/19 01:15:00 PM";2019-05-03 13:15:00;11.669;11.257;10.606;10.069
