#,dtes,temperture depth 1 [C],temperture depth 2 [C],temperture depth 3 [C],temperture depth 4 [C],
1,03/05/2019 00:00:00,12.101,11.54,10.522,9.972,
2,03/05/2019 00:15:00,12.078,11.538,10.527,9.974,
3,03/05/2019 00:30:00,12.054,11.535,10.531,9.975,
4,03/05/2019 00:45:00,12.031,11.534,10.536,9.978,
5,03/05/2019 01:00:00,12.009,11.531,10.539,9.98,
6,03/05/2019 01:15:00,11.987,11.526,10.544,9.981,
7,03/05/2019 01:30:00,11.966,11.523,10.548,9.984,
8,03/05/2019 01:45:00,11.945,11.519,10.551,9.986,
9,03/05/2019 02:00:00,11.924,11.514,10.556,9.989,
10,03/05/2019 02:15:00,11.901,11.51,10.559,9.99,
11,03/05/2019 02:30:00,11.88,11.505,10.562,9.992,
12,03/05/2019 02:45:00,11.859,11.501,10.565,9.995,
13,03/05/2019 03:00:00,11.839,11.494,10.568,9.997,
14,03/05/2019 03:15:00,11.818,11.488,10.571,10,
15,03/05/2019 03:30:00,11.796,11.482,10.574,10.001,
16,03/05/2019 03:45:00,11.777,11.476,10.577,10.004,
17,03/05/2019 04:00:00,11.756,11.47,10.58,10.006,
18,03/05/2019 04:15:00,11.734,11.464,10.583,10.007,
19,03/05/2019 04:30:00,11.712,11.456,10.585,10.01,
20,03/05/2019 04:45:00,11.689,11.45,10.588,10.012,
21,03/05/2019 05:00:00,11.665,11.443,10.589,10.015,
22,03/05/2019 05:15:00,11.643,11.435,10.591,10.017,
23,03/05/2019 05:30:00,11.622,11.428,10.594,10.02,
24,03/05/2019 05:45:00,11.602,11.42,10.595,10.021,
25,03/05/2019 06:00:00,11.583,11.412,10.597,10.023,
26,03/05/2019 06:15:00,11.564,11.403,10.599,10.026,
27,03/05/2019 06:30:00,11.546,11.396,10.6,10.027,
28,03/05/2019 06:45:00,11.528,11.388,10.602,10.03,
29,03/05/2019 07:00:00,11.511,11.379,10.603,10.032,
30,03/05/2019 07:15:00,11.493,11.37,10.603,10.033,
31,03/05/2019 07:30:00,11.475,11.362,10.605,10.036,
32,03/05/2019 07:45:00,11.461,11.353,10.606,10.038,
33,03/05/2019 08:00:00,11.449,11.344,10.606,10.04,
34,03/05/2019 08:15:00,11.443,11.336,10.606,10.041,
35,03/05/2019 08:30:00,11.438,11.327,10.608,10.044,
36,03/05/2019 08:45:00,11.438,11.32,10.608,10.046,
37,03/05/2019 09:00:00,11.443,11.311,10.608,10.047,
38,03/05/2019 09:15:00,11.447,11.303,10.608,10.049,
39,03/05/2019 09:30:00,11.456,11.295,10.608,10.052,
40,03/05/2019 09:45:00,11.479,11.289,10.609,10.053,
