dates,VMolo,deltaP,TempMolo,Temp1,Temp2,Temp3,Temp4
2022-04-14 13:45:00,1.01682,0.20505729787261764,13.778,13.124,12.467,12.022,11.821
2022-04-14 14:00:00,1.04383,0.17805269761708156,13.66,13.081,12.388,11.91,11.686
2022-04-14 14:15:00,1.03117,0.19044028775542254,13.595,13.064,12.37,11.874,11.637
2022-04-14 14:30:00,1.0412,0.1803827240289627,13.538,13.052,12.37,11.862,11.616
2022-04-14 14:45:00,1.02647,0.19465810187828989,13.401,13.038,12.378,11.859,11.605
2022-04-14 15:00:00,1.06188,0.15935320432515793,13.29,13.014,12.387,11.863,11.602
2022-04-14 15:15:00,1.06546,0.15557570889174177,13.186,12.978,12.394,11.869,11.604
2022-04-14 15:30:00,1.06676,0.15393427923102881,13.028,12.939,12.4,11.878,11.607
2022-04-14 15:45:00,1.07824,0.142230352298501,12.877,12.888,12.403,11.886,11.611
2022-04-14 16:00:00,1.05875,0.16113961717518865,12.705,12.826,12.402,11.895,11.619
2022-04-14 16:15:00,1.07443,0.14536068965882948,12.591,12.76,12.397,11.903,11.625
2022-04-14 16:30:00,1.08988,0.12995527181743138,12.542,12.69,12.39,11.91,11.633
2022-04-14 16:45:00,1.09033,0.12949406924320997,12.535,12.637,12.378,11.916,11.64
2022-04-14 17:00:00,1.08511,0.1346551394901443,12.532,12.595,12.363,11.921,11.646
2022-04-14 17:15:00,1.08362,0.13613696914602294,12.535,12.564,12.346,11.924,11.654
2022-04-14 17:30:00,1.07961,0.1400889232813834,12.527,12.538,12.331,11.924,11.66
2022-04-14 17:45:00,1.07774,0.1418774129313415,12.499,12.515,12.316,11.925,11.666
2022-04-14 18:00:00,1.06359,0.1557894540161388,12.456,12.493,12.302,11.924,11.671
2022-04-14 18:15:00,1.06523,0.15409631403947613,12.425,12.467,12.289,11.922,11.675
2022-04-14 18:30:00,1.07958,0.1399571110219167,12.455,12.443,12.276,11.921,11.68
2022-04-14 18:45:00,1.09602,0.12393948222931962,12.57,12.435,12.264,11.918,11.683
2022-04-14 19:00:00,1.0782,0.1419357116507584,12.728,12.447,12.252,11.915,11.686
2022-04-14 19:15:00,1.06619,0.15413741986577098,12.867,12.477,12.243,11.912,11.689
2022-04-14 19:30:00,1.07088,0.1497949121935654,13.001,12.52,12.236,11.909,11.69
2022-04-14 19:45:00,1.05207,0.1686523506322112,13.106,12.567,12.234,11.906,11.692
2022-04-14 20:00:00,1.05329,0.16767560290932998,13.209,12.634,12.236,11.903,11.693
2022-04-14 20:15:00,1.0198,0.20100118758657493,13.285,12.699,12.243,11.901,11.695
2022-04-14 20:30:00,1.03311,0.18805085358716478,13.386,12.745,12.254,11.901,11.695
2022-04-14 20:45:00,1.04913,0.17245351124012398,13.503,12.797,12.267,11.901,11.696
2022-04-14 21:00:00,1.02747,0.1941840438313478,13.631,12.855,12.283,11.904,11.698
2022-04-14 21:15:00,1.04494,0.1772117686024459,13.775,12.918,12.301,11.907,11.699
2022-04-14 21:30:00,1.03204,0.19021606390087156,13.879,12.98,12.322,11.913,11.702
2022-04-14 21:45:00,1.0312,0.1912360948575758,13.963,13.044,12.344,11.919,11.705
2022-04-14 22:00:00,1.02968,0.19285754257819446,14.015,13.12,12.372,11.927,11.709
2022-04-14 22:15:00,1.02129,0.20128253342512836,14.068,13.18,12.4,11.936,11.712
2022-04-14 22:30:00,1.03216,0.19057507100224577,14.092,13.24,12.432,11.948,11.718
2022-04-14 22:45:00,1.03792,0.18490631947297145,14.107,13.293,12.464,11.96,11.722
2022-04-14 23:00:00,1.02399,0.19866337088391225,14.092,13.323,12.493,11.974,11.728
2022-04-14 23:15:00,1.02827,0.19436111739712664,14.063,13.351,12.523,11.987,11.736
2022-04-14 23:30:00,0.99123,0.23097014976350522,14.036,13.377,12.551,12.004,11.743
2022-04-14 23:45:00,1.03445,0.1881262697440029,14.011,13.391,12.579,12.019,11.751
