"Date Heure, GMT+02:00",temperature1,temperature2,temperature3,temperature4,Stream_temperature_S1
2019-05-03 10:30:00,11.456,11.295,10.608,10.052,11.856
2019-05-03 10:45:00,11.479,11.289,10.609,10.053,11.662
2019-05-03 11:00:00,11.487,11.283,10.609,10.055,11.662
2019-05-03 11:15:00,11.487,11.277,10.608,10.056,11.637
2019-05-03 11:30:00,11.485,11.272,10.608,10.058,12.316
2019-05-03 11:45:00,11.514,11.268,10.608,10.059,12.316
2019-05-03 12:00:00,11.564,11.263,10.608,10.061,12.122
2019-05-03 12:15:00,11.599,11.26,10.608,10.063,12.098
2019-05-03 12:30:00,11.62,11.259,10.608,10.064,11.904
2019-05-03 12:45:00,11.624,11.257,10.606,10.066,11.929
2019-05-03 13:00:00,11.625,11.257,10.606,10.067,12.751
2019-05-03 13:15:00,11.669,11.257,10.606,10.069,12.316
2019-05-03 13:30:00,11.715,11.257,10.605,10.07,12.001
2019-05-03 13:45:00,11.718,11.259,10.605,10.072,12.001
2019-05-03 14:00:00,11.71,11.26,10.605,10.073,12.074
2019-05-03 14:15:00,11.713,11.263,10.605,10.075,12.195
2019-05-03 14:30:00,11.722,11.265,10.603,10.075,12.098
2019-05-03 14:45:00,11.73,11.268,10.603,10.076,11.977
2019-05-03 15:00:00,11.724,11.271,10.603,10.078,11.977
2019-05-03 15:15:00,11.716,11.272,10.602,10.079,12.001
2019-05-03 15:30:00,11.713,11.276,10.602,10.079,12.05
2019-05-03 15:45:00,11.716,11.277,10.602,10.081,12.292
2019-05-03 16:00:00,11.737,11.279,10.602,10.083,12.316
2019-05-03 16:15:00,11.763,11.28,10.602,10.083,12.292
2019-05-03 16:30:00,11.781,11.282,10.602,10.084,12.219
2019-05-03 16:45:00,11.789,11.285,10.602,10.086,12.171
2019-05-03 17:00:00,11.79,11.286,10.602,10.086,12.292
2019-05-03 17:15:00,11.8,11.289,10.602,10.087,12.292
2019-05-03 17:30:00,11.813,11.292,10.602,10.087,12.364
2019-05-03 17:45:00,11.83,11.295,10.602,10.089,12.461
2019-05-03 18:00:00,11.853,11.298,10.602,10.089,12.413
2019-05-03 18:15:00,11.871,11.301,10.602,10.09,12.364
2019-05-03 18:30:00,11.88,11.306,10.602,10.09,12.34
2019-05-03 18:45:00,11.884,11.309,10.603,10.092,12.34
2019-05-03 19:00:00,11.889,11.314,10.603,10.092,12.34
